site_id,t,day,hour,load_kwh,solar_kwh,net_load_kwh,grid_available,battery_capacity_kwh,dg_power_kw,grid_power_kw,battery_charge_coeff,battery_discharge_coeff,init_soc,dod
site1,0,1,0,4.48,0.0,4.48,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,1,1,1,4.3,0.0,4.3,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,2,1,2,4.17,0.0,4.17,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,3,1,3,4.15,0.0,4.15,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,4,1,4,4.32,0.0,4.32,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,5,1,5,4.41,0.24,4.17,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,6,1,6,4.45,1.22,3.2300000000000004,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,7,1,7,4.47,4.14,0.33000000000000007,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,8,1,8,4.54,7.68,-3.1399999999999997,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,9,1,9,4.63,10.18,-5.55,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,10,1,10,4.77,11.32,-6.550000000000001,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,11,1,11,4.64,9.8,-5.160000000000001,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,12,1,12,4.74,4.16,0.5800000000000001,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,13,1,13,4.65,4.08,0.5700000000000003,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,14,1,14,4.72,3.98,0.7399999999999998,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,15,1,15,4.84,3.92,0.9199999999999999,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,16,1,16,4.94,3.68,1.2600000000000002,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,17,1,17,4.7,1.88,2.8200000000000003,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,18,1,18,4.69,0.34,4.3500000000000005,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,19,1,19,4.79,0.0,4.79,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,20,1,20,5.07,0.0,5.07,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,21,1,21,5.06,0.0,5.06,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,22,1,22,4.92,0.0,4.92,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,23,1,23,4.54,0.0,4.54,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,24,2,0,4.49,0.0,4.49,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,25,2,1,4.46,0.0,4.46,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,26,2,2,4.26,0.0,4.26,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,27,2,3,4.27,0.0,4.27,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,28,2,4,4.32,0.02,4.300000000000001,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,29,2,5,4.35,0.14,4.21,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,30,2,6,4.54,0.32,4.22,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,31,2,7,4.67,0.86,3.81,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,32,2,8,4.82,2.5,2.3200000000000003,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,33,2,9,4.8,4.3,0.5,False,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,34,2,10,4.88,7.64,-2.76,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,35,2,11,4.88,1.82,3.0599999999999996,True,16.2,18.0,8,0.35,1.2,0.2,0.15
site1,36,2,12,5.04,4.6,0.4400000000000004,True,16.2,18.0,8,0.35,1.2,0.2,0.15
