site_id,t,day,hour,load_kwh,solar_kwh,net_load_kwh,grid_available,battery_capacity_kwh,dg_power_kw,grid_power_kw,battery_charge_coeff,battery_discharge_coeff,init_soc,dod,ghi,dhi,dni,clearsky_ghi,clearsky_dhi,clearsky_dni,solar_zenith_angle,relative_humidity
site6,0,1,0,4.03,0.0,4.03,True,41.04,17.6,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,135.14,55.32
site6,1,1,1,4.04,0.0,4.04,True,41.04,17.6,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,129.0,59.13
site6,2,1,2,4.01,0.0,4.01,True,41.04,17.6,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,109.59,58.09
site6,3,1,3,4.22,0.0,4.22,True,41.04,17.6,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,98.74,63.37
site6,4,1,4,4.22,0.09,4.13,True,41.04,17.6,8,0.35,1.2,0.2,0.15,13.2,12.82,0.0,24.96,17.44,141.42,86.7,60.12
site6,5,1,5,4.23,0.345,3.8850000000000007,True,41.04,17.6,8,0.35,1.2,0.2,0.15,4.85,5.1,0.0,227.54,70.24,590.29,71.13,49.13
site6,6,1,6,4.22,1.095,3.125,True,41.04,17.6,8,0.35,1.2,0.2,0.15,261.39,232.19,77.76,496.31,93.97,781.04,58.46,39.17
site6,7,1,7,4.23,2.925,1.3050000000000006,True,41.04,17.6,8,0.35,1.2,0.2,0.15,255.2,245.56,0.97,676.14,105.35,875.71,45.38,33.96
site6,8,1,8,4.28,4.92,-0.6399999999999997,False,41.04,17.6,8,0.35,1.2,0.2,0.15,321.72,321.03,2.05,873.69,116.23,933.73,34.9,30.71
site6,9,1,9,4.37,5.415,-1.045,False,41.04,17.6,8,0.35,1.2,0.2,0.15,758.53,508.53,258.11,984.7,118.81,959.21,22.37,27.9
site6,10,1,10,4.44,4.815,-0.375,False,41.04,17.6,8,0.35,1.2,0.2,0.15,865.65,497.86,420.56,1065.46,120.11,930.5,17.59,27.07
site6,11,1,11,4.46,5.625,-1.165,False,41.04,17.6,8,0.35,1.2,0.2,0.15,485.91,443.98,16.61,1002.89,124.18,972.19,21.82,25.52
site6,12,1,12,4.45,7.23,-2.7800000000000002,False,41.04,17.6,8,0.35,1.2,0.2,0.15,550.36,450.02,130.25,906.64,113.69,964.09,32.99,25.1
site6,13,1,13,4.46,6.6,-2.1399999999999997,False,41.04,17.6,8,0.35,1.2,0.2,0.15,558.74,408.74,191.95,705.27,110.82,898.81,46.67,25.24
site6,14,1,14,4.46,3.105,1.355,False,41.04,17.6,8,0.35,1.2,0.2,0.15,362.21,305.18,143.37,524.18,94.92,817.3,58.58,25.96
site6,15,1,15,4.43,3.24,1.1899999999999995,False,41.04,17.6,8,0.35,1.2,0.2,0.15,251.66,68.92,626.99,267.9,69.75,654.17,73.96,27.03
site6,16,1,16,4.44,2.805,1.6350000000000002,True,41.04,17.6,8,0.35,1.2,0.2,0.15,40.7,25.15,238.79,43.58,25.89,241.25,83.95,33.77
site6,17,1,17,4.41,1.935,2.475,True,41.04,17.6,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,103.16,34.93
