site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site10,delayed,0,720,0.6,501.8,130,81.9444,929.4650100000001,0,6,0,0.5036598017516786,0.5705972070149569,0.13291814082077597,0.6111111111111112,974.6851904761904,1319.3390861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,1,720,0.6,505.66,131,81.8056,925.6050100000001,0,6,0,0.5036598017516786,0.5587497440427428,0.13291814082077597,0.6097222222222223,974.6851904761904,1315.4790861904762,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,2,720,0.6,505.66,131,81.8056,925.6050100000001,0,6,0,0.5036598017516786,0.5719940169872719,0.13291814082077597,0.6097222222222223,974.6851904761904,1315.4790861904762,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,3,720,0.6,617.6,160,77.7778,813.66501,0,5,0,0.5036598017516786,0.5590114800583335,0.13480140834467824,0.5694444444444444,974.6851904761904,1203.5390861904762,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,4,720,0.6,505.65999999999997,131,81.8056,925.6050100000001,0,6,0,0.5036598017516786,0.5530132410594579,0.13291814082077597,0.6097222222222223,974.6851904761904,1315.4790861904762,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,5,720,0.6,331.96000000000004,86,88.0556,1099.30501,0,7,0,0.5036598017516786,0.5850759314829115,0.13291814082077597,0.6722222222222223,974.6851904761904,1489.1790861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,6,720,0.6,818.3200000000002,212,70.5556,612.94501,0,4,0,0.5036598017516786,0.48364170688987745,0.13480140834467824,0.49722222222222223,974.6851904761904,1002.8190861904762,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,7,720,0.6,660.06,171,76.25,771.20501,0,5,0,0.5036598017516786,0.5634166840599728,0.13480140834467824,0.5541666666666667,974.6851904761904,1161.0790861904761,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,8,720,0.6,683.22,177,75.4167,748.04501,0,5,0,0.5036598017516786,0.5458144342213599,0.13480140834467824,0.5458333333333333,974.6851904761904,1137.9190861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,9,720,0.6,1208.18,313,56.5278,223.08501,0,2,0,0.5036598017516786,0.49337860222056396,0.1366846758685805,0.35694444444444445,974.6851904761904,612.9590861904762,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,10,720,0.6,1034.48,268,62.7778,396.78501,0,3,0,0.5036598017516786,0.49740435743228284,0.1366846758685805,0.41944444444444445,974.6851904761904,786.6590861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,11,720,0.6,683.22,177,75.4167,748.04501,0,5,0,0.5036598017516786,0.5357642835173779,0.13480140834467824,0.5458333333333333,974.6851904761904,1137.9190861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,12,720,0.6,621.46,161,77.6389,809.8050100000002,0,5,0,0.5036598017516786,0.5526041989345776,0.13480140834467824,0.5680555555555555,974.6851904761904,1199.6790861904765,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,13,720,0.6,505.66,131,81.8056,925.6050100000001,0,6,0,0.5036598017516786,0.5358306499166241,0.13291814082077577,0.6097222222222223,974.6851904761904,1315.4790861904762,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,14,720,0.6,505.66,131,81.8056,925.6050100000001,0,6,0,0.5036598017516786,0.5681601878971454,0.13291814082077597,0.6097222222222223,974.6851904761904,1315.4790861904762,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,15,720,0.6,455.48,118,83.6111,975.78501,0,6,0,0.5036598017516786,0.5656025409626636,0.13291814082077597,0.6277777777777778,974.6851904761904,1365.6590861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,16,720,0.6,717.96,186,74.1667,713.30501,0,4,0,0.5036598017516786,0.5449755873045187,0.13480140834467824,0.5333333333333333,974.6851904761904,1103.1790861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,17,720,0.6,856.9200000000001,222,69.1667,574.3450100000001,0,4,0,0.5036598017516786,0.5327584367047064,0.13480140834467824,0.48333333333333334,974.6851904761904,964.2190861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,18,720,0.6,505.66,131,81.8056,925.6050100000001,0,6,0,0.5036598017516786,0.5784193852501692,0.13291814082077597,0.6097222222222223,974.6851904761904,1315.4790861904762,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,19,720,0.6,683.22,177,75.4167,748.04501,0,5,0,0.5036598017516786,0.5185711271281599,0.13480140834467805,0.5458333333333333,974.6851904761904,1137.9190861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,20,720,0.6,683.22,177,75.4167,748.04501,0,5,0,0.5036598017516786,0.5419438235128611,0.13480140834467824,0.5458333333333333,974.6851904761904,1137.9190861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,21,720,0.6,683.22,177,75.4167,748.04501,0,5,0,0.5036598017516786,0.48803638841556135,0.13480140834467824,0.5458333333333333,974.6851904761904,1137.9190861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,22,720,0.6,683.22,177,75.4167,748.0450099999999,0,5,0,0.5036598017516786,0.553885569618471,0.13480140834467824,0.5458333333333333,974.6851904761904,1137.9190861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,23,720,0.6,370.56,96,86.6667,1060.70501,0,6,0,0.5036598017516786,0.5804738951162616,0.13291814082077597,0.6583333333333333,974.6851904761904,1450.5790861904761,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,24,720,0.6,613.74,159,77.9167,817.5250100000002,0,5,0,0.5036598017516786,0.5673527287723691,0.13480140834467824,0.5708333333333333,974.6851904761904,1207.3990861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,25,720,0.6,702.52,182,74.7222,728.74501,0,4,0,0.5036598017516786,0.5434841948058058,0.13480140834467824,0.5388888888888889,974.6851904761904,1118.619086190476,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,26,720,0.6,856.9200000000001,222,69.1667,574.3450100000001,0,4,0,0.5036598017516786,0.5325930177940181,0.13480140834467824,0.48333333333333334,974.6851904761904,964.2190861904763,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
site10,delayed,27,720,0.6,505.66,131,81.8056,925.6050100000001,0,6,0,0.5036598017516786,0.5028141779789681,0.13291814082077597,0.6097222222222223,974.6851904761904,1315.4790861904762,A5,123,normal,ablation_a5_delayed,0,0.6,0.6,720
