site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site10,normal,0,720,0.6,463.2,120,83.3333,968.0650100000001,0,20,0,0.5036598017516786,0.6335581025821162,0.1339665637895257,0.5944444444444444,974.6851904761904,1357.9390861904762,A7,777,normal,ablation_a7,0,0.6,0.6,720
site10,normal,1,720,0.6,370.56,96,86.6667,1060.7050100000001,0,22,0,0.5036598017516786,0.6869102806614537,0.1358559902551813,0.6361111111111111,974.6851904761904,1450.5790861904763,A7,777,normal,ablation_a7,0,0.6,0.6,720
site10,normal,2,720,0.6,301.08,78,89.1667,1130.18501,0,28,0,0.5036598017516786,0.678460812069776,0.13208329626562576,0.6513888888888889,974.6851904761904,1520.0590861904761,A7,777,normal,ablation_a7,0,0.6,0.6,720
site10,normal,3,720,0.6,223.88,58,91.9444,1207.38501,0,31,0,0.5036598017516786,0.7267357685674978,0.1415119517686409,0.675,974.6851904761904,1597.2590861904762,A7,777,normal,ablation_a7,0,0.6,0.6,720
site10,normal,4,720,0.6,478.64000000000004,124,82.7778,952.62501,0,22,0,0.5036598017516786,0.6515401472709414,0.13396656378952615,0.5888888888888889,974.6851904761904,1342.4990861904762,A7,777,normal,ablation_a7,0,0.6,0.6,720
site10,normal,5,720,0.6,270.20000000000005,70,90.2778,1161.06501,0,27,0,0.5036598017516786,0.6801830000281324,0.13396656378952576,0.6625,974.6851904761904,1550.9390861904762,A7,777,normal,ablation_a7,0,0.6,0.6,720
site10,normal,6,720,0.6,181.42000000000002,47,93.4722,1249.84501,0,28,0,0.5036598017516786,0.7170741154980257,0.13208329626562576,0.6888888888888889,974.6851904761904,1639.7190861904762,A7,777,normal,ablation_a7,0,0.6,0.6,720
site10,normal,7,720,0.6,490.22,127,82.3611,941.0450100000002,0,21,0,0.5036598017516786,0.6553926013145911,0.13396656378952654,0.5777777777777777,974.6851904761904,1330.9190861904763,A7,777,normal,ablation_a7,0,0.6,0.6,720
site10,normal,8,720,0.6,289.5,75,89.5833,1141.76501,0,28,0,0.5036598017516786,0.6881648536757087,0.13773925777908363,0.6472222222222223,974.6851904761904,1531.6390861904763,A7,777,normal,ablation_a7,0,0.6,0.6,720
site10,normal,9,720,0.6,335.82000000000005,87,87.9167,1095.4450100000001,0,21,0,0.5036598017516786,0.6074848304694243,0.1339665637895262,0.6569444444444444,974.6851904761904,1485.3190861904764,A7,777,normal,ablation_a7,0,0.6,0.6,720
