policy,lead_scenario,mean,std,count,sem,ci95_lo,ci95_hi
a5,delayed,3.75,27.65,1000,0.87,2.03,5.46
a5,extreme,54.47,120.02,1000,3.8,47.03,61.91
a5,monsoon,11.54,50.61,1000,1.6,8.41,14.68
a5,normal,0.03,0.42,1000,0.01,0.0,0.05
a6,delayed,3.65,27.64,1000,0.87,1.94,5.36
a6,extreme,61.5,124.12,1000,3.92,53.8,69.19
a6,monsoon,10.65,46.78,1000,1.48,7.75,13.55
a6,normal,1.28,10.54,1000,0.33,0.63,1.93
a7,delayed,3.29,25.2,1000,0.8,1.73,4.85
a7,extreme,53.95,118.32,1000,3.74,46.62,61.28
a7,monsoon,11.03,48.07,1000,1.52,8.05,14.01
a7,normal,0.05,0.96,1000,0.03,-0.01,0.11
b0,delayed,24.53,58.83,1000,1.86,20.89,28.18
b0,extreme,66.63,127.65,1000,4.04,58.72,74.54
b0,monsoon,35.52,79.95,1000,2.53,30.56,40.47
b0,normal,9.94,26.42,1000,0.84,8.3,11.58
b1,delayed,13.43,45.13,1000,1.43,10.64,16.23
b1,extreme,57.73,121.65,1000,3.85,50.19,65.27
b1,monsoon,23.2,67.83,1000,2.14,19.0,27.41
b1,normal,3.55,15.63,1000,0.49,2.58,4.52
multi,delayed,3.55,27.15,1000,0.86,1.87,5.23
multi,extreme,53.45,118.88,1000,3.76,46.08,60.82
multi,monsoon,11.15,48.96,1000,1.55,8.11,14.18
multi,normal,0.03,0.41,1000,0.01,0.0,0.05
rlinv,delayed,3.6,26.41,1000,0.84,1.96,5.24
rlinv,extreme,53.85,119.25,1000,3.77,46.46,61.25
rlinv,monsoon,11.29,49.43,1000,1.56,8.22,14.35
rlinv,normal,0.02,0.34,1000,0.01,-0.0,0.04
trackb,delayed,3.65,27.64,1000,0.87,1.93,5.36
trackb,extreme,152.13,222.54,1000,7.04,138.34,165.92
trackb,monsoon,174.5,233.05,1000,7.37,160.05,188.94
trackb,normal,1.28,10.54,1000,0.33,0.63,1.93
