policy,lead_scenario,mean,std,count,sem,ci95_lo,ci95_hi
a5,delayed,3.75,9.03,100,0.9,1.98,5.52
a5,extreme,54.47,94.92,100,9.49,35.87,73.07
a5,monsoon,11.54,24.92,100,2.49,6.66,16.43
a5,normal,0.03,0.13,100,0.01,0.0,0.05
a6,delayed,3.65,9.12,100,0.91,1.86,5.44
a6,extreme,61.5,105.66,100,10.57,40.79,82.21
a6,monsoon,10.65,22.98,100,2.3,6.15,15.16
a6,normal,1.28,3.87,100,0.39,0.52,2.04
a7,delayed,3.29,8.42,100,0.84,1.64,4.94
a7,extreme,53.95,93.79,100,9.38,35.57,72.33
a7,monsoon,11.03,23.51,100,2.35,6.42,15.64
a7,normal,0.05,0.3,100,0.03,-0.01,0.11
b0,delayed,24.53,42.4,100,4.24,16.22,32.84
b0,extreme,66.63,112.44,100,11.24,44.59,88.67
b0,monsoon,35.52,61.15,100,6.11,23.53,47.5
b0,normal,9.94,17.71,100,1.77,6.47,13.41
b1,delayed,13.43,25.85,100,2.59,8.36,18.5
b1,extreme,57.73,98.17,100,9.82,38.49,76.97
b1,monsoon,23.2,41.79,100,4.18,15.01,31.4
b1,normal,3.55,7.26,100,0.73,2.13,4.97
multi,delayed,3.55,8.9,100,0.89,1.8,5.29
multi,extreme,53.45,93.15,100,9.31,35.19,71.71
multi,monsoon,11.15,24.02,100,2.4,6.44,15.85
multi,normal,0.03,0.14,100,0.01,-0.0,0.05
rlinv,delayed,3.6,8.76,100,0.88,1.88,5.32
rlinv,extreme,53.85,94.0,100,9.4,35.43,72.28
rlinv,monsoon,11.29,24.2,100,2.42,6.54,16.03
rlinv,normal,0.02,0.1,100,0.01,-0.0,0.04
trackb,delayed,3.65,9.12,100,0.91,1.86,5.44
trackb,extreme,152.13,195.8,100,19.58,113.75,190.51
trackb,monsoon,174.5,211.74,100,21.17,132.99,216.0
trackb,normal,1.28,3.87,100,0.39,0.52,2.04
