site,policy,lead_scenario,EENS_kWh
site1,a5,delayed,0.0
site1,a5,extreme,0.0
site1,a5,monsoon,0.0
site1,a5,normal,0.0
site1,a6,delayed,0.0
site1,a6,extreme,0.0
site1,a6,monsoon,0.3666300000000002
site1,a6,normal,0.0
site1,a7,delayed,0.0
site1,a7,extreme,0.0
site1,a7,monsoon,0.0
site1,a7,normal,0.0
site1,b0,delayed,0.0
site1,b0,extreme,0.0
site1,b0,monsoon,0.0
site1,b0,normal,0.0
site1,b1,delayed,0.0
site1,b1,extreme,0.0
site1,b1,monsoon,0.0
site1,b1,normal,0.0
site1,multi,delayed,0.0
site1,multi,extreme,0.0
site1,multi,monsoon,0.0
site1,multi,normal,0.0
site1,rlinv,delayed,0.0
site1,rlinv,extreme,0.0
site1,rlinv,monsoon,0.0
site1,rlinv,normal,0.0
site1,trackb,delayed,0.0
site1,trackb,extreme,23.51838
site1,trackb,monsoon,32.04144
site1,trackb,normal,0.0
site10,a5,delayed,0.0
site10,a5,extreme,0.0
site10,a5,monsoon,0.0
site10,a5,normal,0.0
site10,a6,delayed,0.01572809999999997
site10,a6,extreme,0.0
site10,a6,monsoon,0.08403209999999996
site10,a6,normal,0.0
site10,a7,delayed,0.0
site10,a7,extreme,0.0
site10,a7,monsoon,0.0
site10,a7,normal,0.0
site10,b0,delayed,0.0
site10,b0,extreme,0.0
site10,b0,monsoon,0.0
site10,b0,normal,0.0
site10,b1,delayed,0.0
site10,b1,extreme,0.0
site10,b1,monsoon,0.0
site10,b1,normal,0.0
site10,multi,delayed,0.0
site10,multi,extreme,0.0
site10,multi,monsoon,0.0
site10,multi,normal,0.0
site10,rlinv,delayed,0.0
site10,rlinv,extreme,0.0
site10,rlinv,monsoon,0.0
site10,rlinv,normal,0.0
site10,trackb,delayed,0.0
site10,trackb,extreme,24.324335500000007
site10,trackb,monsoon,33.3538384
site10,trackb,normal,0.0
site2,a5,delayed,14.041518000000002
site2,a5,extreme,219.386392
site2,a5,monsoon,42.85932
site2,a5,normal,0.0
site2,a6,delayed,13.493158000000001
site2,a6,extreme,248.133724
site2,a6,monsoon,40.950688
site2,a6,normal,2.8233000000000006
