policy,lead_scenario,site,seed,EENS_mean,diesel_mean,uptime_mean
a5,delayed,site1,7,0.0,36.545,100.0
a5,delayed,site1,13,0.0,36.545,100.0
a5,delayed,site1,21,0.0,36.545,100.0
a5,delayed,site1,42,0.0,36.545,100.0
a5,delayed,site1,99,0.0,36.545,100.0
a5,delayed,site1,123,0.0,36.545,100.0
a5,delayed,site1,314,0.0,36.545,100.0
a5,delayed,site1,500,0.0,36.545,100.0
a5,delayed,site1,777,0.0,36.545,100.0
a5,delayed,site1,999,0.0,36.545,100.0
a5,delayed,site10,7,0.0,41.66501000000001,100.0
a5,delayed,site10,13,0.0,41.66501000000001,100.0
a5,delayed,site10,21,0.0,41.66501000000001,100.0
a5,delayed,site10,42,0.0,41.66501000000001,100.0
a5,delayed,site10,99,0.0,41.66501000000001,100.0
a5,delayed,site10,123,0.0,41.66501000000001,100.0
a5,delayed,site10,314,0.0,41.66501000000001,100.0
a5,delayed,site10,500,0.0,41.66501000000001,100.0
a5,delayed,site10,777,0.0,41.66501000000001,100.0
a5,delayed,site10,999,0.0,41.66501000000001,100.0
a5,delayed,site2,7,0.0,749.56142,100.0
a5,delayed,site2,13,19.396700000000003,730.16472,99.33333
a5,delayed,site2,21,35.753,713.8084200000001,98.77777999999999
a5,delayed,site2,42,0.0,749.56142,100.0
a5,delayed,site2,99,8.8897,740.67172,99.72222000000001
a5,delayed,site2,123,31.02686,718.5345599999999,98.91667
a5,delayed,site2,314,5.4292,744.1322200000001,99.83333
a5,delayed,site2,500,6.182,743.37942,99.75
a5,delayed,site2,777,0.0,749.56142,100.0
a5,delayed,site2,999,33.73772,715.8237,98.80556
a5,delayed,site3,7,0.0,122.62310000000005,100.0
a5,delayed,site3,13,0.0,122.62310000000005,100.0
a5,delayed,site3,21,0.0,122.62310000000005,100.0
a5,delayed,site3,42,0.0,122.62310000000005,100.0
a5,delayed,site3,99,0.0,122.62310000000005,100.0
a5,delayed,site3,123,0.0,122.62310000000005,100.0
a5,delayed,site3,314,0.0,122.62310000000005,100.0
a5,delayed,site3,500,0.0,122.62310000000005,100.0
a5,delayed,site3,777,0.0,122.62310000000005,100.0
a5,delayed,site3,999,0.0,122.62310000000005,100.0
a5,delayed,site4,7,0.0,207.05554,100.0
a5,delayed,site4,13,0.0,207.05554,100.0
a5,delayed,site4,21,0.0,207.05554,100.0
a5,delayed,site4,42,0.0,207.05554,100.0
a5,delayed,site4,99,0.0,207.05554,100.0
a5,delayed,site4,123,0.0,207.05554,100.0
a5,delayed,site4,314,0.0,207.05554,100.0
a5,delayed,site4,500,0.0,207.05554,100.0
a5,delayed,site4,777,0.0,207.05554,100.0
a5,delayed,site4,999,0.0,207.05554,100.0
a5,delayed,site5,7,0.0,710.6301599999999,100.0
a5,delayed,site5,13,21.51192,689.11824,99.16667
a5,delayed,site5,21,36.502880000000005,674.1272799999999,98.61111
a5,delayed,site5,42,0.0,710.6301599999999,100.0
a5,delayed,site5,99,20.588203999999998,690.0419559999999,99.11111
a5,delayed,site5,123,33.841364,676.7887959999999,98.52777999999999
a5,delayed,site5,314,11.164068000000002,699.4660919999999,99.47222000000001
a5,delayed,site5,500,10.085068,700.545092,99.5
a5,delayed,site5,777,7.304256,703.3259039999999,99.63889
a5,delayed,site5,999,35.633564,674.996596,98.47222000000001
a5,delayed,site6,7,0.0,0.0,100.0
a5,delayed,site6,13,0.0,0.0,100.0
a5,delayed,site6,21,0.0,0.0,100.0
a5,delayed,site6,42,0.0,0.0,100.0
a5,delayed,site6,99,0.0,0.0,100.0
a5,delayed,site6,123,0.0,0.0,100.0
a5,delayed,site6,314,0.0,0.0,100.0
a5,delayed,site6,500,0.0,0.0,100.0
a5,delayed,site6,777,0.0,0.0,100.0
a5,delayed,site6,999,0.0,0.0,100.0
a5,delayed,site7,7,0.0,276.784,100.0
a5,delayed,site7,13,8.805287000000002,267.97871299999997,99.25
a5,delayed,site7,21,15.195967000000001,261.588033,98.69445
