site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,extreme,0,360,0.3513895002861746,175.16244,28,92.2222,535.46772,0,2,0,0.5744197124756335,0.28197435503324436,0.05995953045178567,0.3138888888888889,1705.3125714285716,1217.5927485714287,mpc,3,normal,main,0,0.3,0.9,360
site5,extreme,1,360,0.8658336633434207,230.36484,39,89.1667,480.26532000000003,0,1,0,0.5744197124756335,0.3652077076736249,0.06630292838127749,0.275,1705.3125714285716,1162.3903485714286,mpc,3,normal,main,0,0.3,0.9,360
site5,extreme,2,360,0.7830017542472282,9.33,1,99.7222,701.30016,0,2,0,0.5744197124756335,0.47463302385912975,0.1032158435187918,0.4222222222222222,1705.3125714285716,1383.4251885714286,mpc,3,normal,main,0,0.3,0.9,360
site5,extreme,3,360,0.622898610883166,378.16164,58,83.8889,332.46852,0,1,0,0.5744197124756335,0.2243145496759053,0.06941538176436143,0.20555555555555555,1705.3125714285716,1014.5935485714286,mpc,3,normal,main,0,0.3,0.9,360
site5,extreme,4,360,0.6750572799628003,338.41364,53,85.2778,372.21652,0,1,0,0.5744197124756335,0.24432976044616028,0.055402819381196525,0.21944444444444444,1705.3125714285716,1054.3415485714286,mpc,3,normal,main,0,0.3,0.9,360
site5,extreme,5,360,0.49618336596333645,452.20324,69,80.8333,258.42692,0,1,0,0.5744197124756335,0.16526230412198367,0.06596228466268578,0.15555555555555556,1705.3125714285716,940.5519485714286,mpc,3,normal,main,0,0.3,0.9,360
site5,extreme,6,360,0.8221495223820507,257.88484,42,88.3333,452.74532,0,1,0,0.5744197124756335,0.3370531315268849,0.06843322562701812,0.26944444444444443,1705.3125714285716,1134.8703485714286,mpc,3,normal,main,0,0.3,0.9,360
site5,extreme,7,360,0.8736010257773852,220.73404,37,89.7222,489.89612,0,1,0,0.5744197124756335,0.3684753682861844,0.058037235165349574,0.2833333333333333,1705.3125714285716,1172.0211485714285,mpc,3,normal,main,0,0.3,0.9,360
site5,extreme,8,360,0.3771421216615198,520.36604,77,78.6111,190.26412,0,1,0,0.5744197124756335,0.11962892855351473,0.06039634518004195,0.11944444444444445,1705.3125714285716,872.3891485714287,mpc,3,normal,main,0,0.3,0.9,360
site5,extreme,9,360,0.45049467486506767,118.98068000000002,20,94.4444,591.64948,0,2,0,0.5744197124756335,0.3372219365275132,0.06553506215688837,0.35,1705.3125714285716,1273.7745085714287,mpc,3,normal,main,0,0.3,0.9,360
