policy,site,lead_scenario,mean_lead_hours,EENS_mean,EENS_std,EENS_min,EENS_max,diesel_mean,stockout_mean,uptime_mean,cost_mean,n,EENS_sem,EENS_ci95_lo,EENS_ci95_hi
b0,site10,no_delay,0,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b0,site10,fast,12,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b0,site10,normal,24,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b0,site10,delayed,48,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b0,site10,monsoon,72,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b0,site10,very_delayed,120,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b0,site10,extreme,336,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b0,site2,no_delay,0,0.0,0.0,0.0,0.0,749.5614199999999,0.0,100.0,1713.2071914285712,100,0.0,0.0,0.0
b0,site2,fast,12,23.689084,23.18810941447187,0.0,139.0896,725.872336,0.0,99.000001,1689.518107428571,100,2.318810941447187,19.144214554763515,28.233953445236487
b0,site2,normal,24,44.822565999999995,42.42555234964143,0.0,227.2252,704.738854,0.0,98.211112,1668.3846254285713,100,4.242555234964143,36.50715773947027,53.13797426052972
b0,site2,delayed,48,96.787626,87.40638876636127,0.0,427.4522,652.7737940000001,0.0,96.34166499999999,1616.4195654285713,100,8.740638876636128,79.6559738017932,113.91927819820681
b0,site2,monsoon,72,140.492232,113.22335586600575,0.0,476.4668,609.0691879999999,0.0,94.802778,1572.714959428571,100,11.322335586600575,118.30045425026287,162.68400974973713
b0,site2,very_delayed,120,182.73729200000002,138.96927899290552,8.86,547.6818,566.8241280000001,0.0,93.280558,1530.4698994285711,100,13.896927899290551,155.49931331739054,209.9752706826095
b0,site2,extreme,336,270.884596,137.7086406188152,24.098,578.7624,478.67682400000007,0.0,90.227779,1442.3225954285713,100,13.77086406188152,243.8937024387122,297.87548956128774
b0,site5,no_delay,0,4.66428,0.0,4.66428,4.66428,705.9658800000001,0.0,99.1667,1388.0909085714288,100,0.0,4.66428,4.66428
b0,site5,fast,12,14.4034856,26.00283067198445,4.66428,182.60668,696.2266744000001,0.0,98.68335800000001,1378.3517029714287,100,2.600283067198445,9.306930788291048,19.50004041170895
b0,site5,normal,24,38.4324412,45.630267418067426,4.66428,254.11592,672.1977188,0.0,97.469457,1354.3227473714287,100,4.563026741806743,29.488908786058783,47.37597361394121
b0,site5,delayed,48,109.1220016,94.88011640943427,4.66428,438.67804,601.5081584000001,0.0,94.28611699999999,1283.6331869714286,100,9.488011640943427,90.52549878375089,127.71850441624912
b0,site5,monsoon,72,158.3459956,119.51871023640348,4.66428,483.06084,552.2841644,0.0,92.16945100000001,1234.4091929714286,100,11.951871023640347,134.92032839366493,181.7716628063351
b0,site5,very_delayed,120,199.8170668,139.36883682548,4.66428,537.93912,510.8130932,0.0,90.394447,1192.9381217714288,100,13.936883682548,172.50077478220592,227.13335881779406
b0,site5,extreme,336,292.079278,131.5693550721076,16.64028,565.54712,418.55088200000006,0.0,86.59166800000001,1100.6759105714286,100,13.156935507210761,266.2916844058669,317.8668715941331
b0,site7,no_delay,0,0.0,0.0,0.0,0.0,276.784,0.0,100.0,582.9016857142857,100,0.0,0.0,0.0
b0,site7,fast,12,5.526356,9.655265829245614,0.0,59.42830000000001,271.257644,0.0,99.416665,577.3753297142857,100,0.9655265829245614,3.6339238974678594,7.41878810253214
b0,site7,normal,24,15.485002000000001,19.741941167356053,0.0,74.66257000000002,261.298998,0.0,98.569444,567.4166837142857,100,1.9741941167356054,11.615581531198215,19.354422468801786
b0,site7,delayed,48,37.3935683,37.633060660375314,0.0,159.59817,239.39043170000002,0.0,96.811114,545.5081174142857,100,3.7633060660375315,30.017488410566436,44.76964818943356
b0,site7,monsoon,72,52.72183150000001,44.24725194732045,0.0,181.75047,224.0621685,0.0,95.56944299999999,530.1798542142857,100,4.424725194732045,44.0493701183252,61.394292881674815
b0,site7,very_delayed,120,65.90335870000001,53.99378291048251,0.0,209.20927,210.88064129999998,0.0,94.49999700000001,516.9983270142857,100,5.399378291048251,55.32057724954544,76.48614015045459
b0,site7,extreme,336,95.9471628,56.04688440251389,0.0,227.34270000000004,180.83683720000002,0.0,92.063894,486.9545229142857,100,5.604688440251389,84.96197345710728,106.93235214289273
b1,site10,no_delay,0,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b1,site10,fast,12,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b1,site10,normal,24,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b1,site10,delayed,48,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b1,site10,monsoon,72,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
