site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,monsoon,0,360,0.7686705532904826,16.466,2,99.4444,733.09542,0,2,0,0.6408744709317017,0.3969503382621047,0.14691970252436135,0.32222222222222224,2409.114428571428,1696.7411914285713,b0,21,normal,phase3_b0,0,0.3,0.9,360
site2,monsoon,1,360,0.5198081492592457,427.45219999999995,55,84.7222,322.10921999999994,0,1,0,0.6408744709317017,0.15418563365946755,0.05612014290225214,0.1361111111111111,2409.114428571428,1285.7549914285712,b0,21,normal,phase3_b0,0,0.3,0.9,360
site2,monsoon,2,360,0.7163598483944187,78.464,11,96.9444,671.09742,0,2,0,0.6408744709317017,0.32739859160220536,0.05029056061953927,0.28888888888888886,2409.114428571428,1634.7431914285712,b0,21,normal,phase3_b0,0,0.3,0.9,360
site2,monsoon,3,360,0.49816130200158926,444.7522,57,84.1667,304.80922,0,1,0,0.6408744709317017,0.14578928080265371,0.05937727855441747,0.13055555555555556,2409.114428571428,1268.4549914285712,b0,21,normal,phase3_b0,0,0.3,0.9,360
site2,monsoon,4,360,0.3964327399392047,98.559,13,96.3889,651.00242,0,3,0,0.6408744709317017,0.2738438389582085,0.05929093982749673,0.2833333333333333,2409.114428571428,1614.6481914285714,b0,21,normal,phase3_b0,0,0.3,0.9,360
site2,monsoon,5,360,0.5949593505629427,76.974,9,97.5,672.5874200000001,0,2,0,0.6408744709317017,0.2723017349025761,0.04893273065242433,0.30277777777777776,2409.114428571428,1636.2331914285714,b0,21,normal,phase3_b0,0,0.3,0.9,360
site2,monsoon,6,360,0.7186417298860712,40.419,5,98.6111,709.14242,0,2,0,0.6408744709317017,0.38188128220938733,0.1313720989256701,0.3138888888888889,2409.114428571428,1672.7881914285713,b0,21,normal,phase3_b0,0,0.3,0.9,360
site2,monsoon,7,360,0.8111003615892947,221.9082,29,91.9444,527.65322,0,1,0,0.6408744709317017,0.3149673655233881,0.05152424753193188,0.225,2409.114428571428,1491.2989914285713,b0,21,normal,phase3_b0,0,0.3,0.9,360
site2,monsoon,8,360,0.33002818221244135,222.15519999999998,29,91.9444,527.4062200000001,0,3,0,0.6408744709317017,0.18505341888825066,0.05647445582803899,0.225,2409.114428571428,1491.0519914285715,b0,21,normal,phase3_b0,0,0.3,0.9,360
site2,monsoon,9,360,0.4414792828875197,476.4668,61,83.0556,273.09461999999996,0,1,0,0.6408744709317017,0.11507173120655687,0.04834958639941319,0.1111111111111111,2409.114428571428,1236.7403914285712,b0,21,normal,phase3_b0,0,0.3,0.9,360
