site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,normal,0,360,0.7672950105481635,4.66428,3,99.1667,705.96588,0,2,0,0.5744197124756335,0.4038345658255175,0.09221173881127671,0.3194444444444444,1705.3125714285716,1388.0909085714286,b0,999,normal,phase3_b0,0,0.3,0.9,360
site5,normal,1,360,0.6128314427850377,32.02228,7,98.0556,678.60788,0,3,0,0.5744197124756335,0.34640139822102584,0.14954139344128953,0.30833333333333335,1705.3125714285716,1360.7329085714287,b0,999,normal,phase3_b0,0,0.3,0.9,360
site5,normal,2,360,0.6675569571419706,33.32524,10,97.2222,677.30492,0,3,0,0.5744197124756335,0.34739008922324965,0.06800691086139697,0.2861111111111111,1705.3125714285716,1359.4299485714287,b0,999,normal,phase3_b0,0,0.3,0.9,360
site5,normal,3,360,0.5284926956898696,4.66428,3,99.1667,705.96588,0,3,0,0.5744197124756335,0.37003225096722364,0.159870724736756,0.3194444444444444,1705.3125714285716,1388.0909085714286,b0,999,normal,phase3_b0,0,0.3,0.9,360
site5,normal,4,360,0.41265442096118005,67.47428,15,95.8333,643.15588,0,3,0,0.5744197124756335,0.2923889654323347,0.06448113850318211,0.2833333333333333,1705.3125714285716,1325.2809085714287,b0,999,normal,phase3_b0,0,0.3,0.9,360
site5,normal,5,360,0.300528271644429,4.66428,3,99.1667,705.96588,0,4,0,0.5744197124756335,0.27456782692178316,0.10570017567383547,0.3194444444444444,1705.3125714285716,1388.0909085714286,b0,999,normal,phase3_b0,0,0.3,0.9,360
site5,normal,6,360,0.34933150384073625,4.66428,3,99.1667,705.96588,0,4,0,0.5744197124756335,0.260037725784757,0.07406151163185422,0.3194444444444444,1705.3125714285716,1388.0909085714286,b0,999,normal,phase3_b0,0,0.3,0.9,360
site5,normal,7,360,0.5021528601436946,4.66428,3,99.1667,705.96588,0,3,0,0.5744197124756335,0.3020257487543822,0.07764233547515009,0.3194444444444444,1705.3125714285716,1388.0909085714286,b0,999,normal,phase3_b0,0,0.3,0.9,360
site5,normal,8,360,0.34273496247653146,78.60936000000001,19,94.7222,632.0208,0,3,0,0.5744197124756335,0.22330293387802255,0.05524430182966883,0.26944444444444443,1705.3125714285716,1314.1458285714286,b0,999,normal,phase3_b0,0,0.3,0.9,360
site5,normal,9,360,0.40035164943277124,27.23228,6,98.3333,683.39788,0,4,0,0.5744197124756335,0.29493650343994354,0.06283888065584337,0.3111111111111111,1705.3125714285716,1365.5229085714286,b0,999,normal,phase3_b0,0,0.3,0.9,360
