site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,delayed,0,360,0.6036184047290367,135.19260000000003,18,95.0,614.3688199999999,0,1,0,0.6408744709317017,0.30658689871145395,0.049767327667764365,0.3138888888888889,2409.114428571428,1578.0145914285713,mpc,99,normal,main,0,0.3,0.9,360
site2,delayed,1,360,0.8009889783012054,0.0,0,100.0,749.56142,0,1,0,0.6408744709317017,0.5075881011115903,0.2076347141059352,0.4166666666666667,2409.114428571428,1713.2071914285712,mpc,99,normal,main,0,0.3,0.9,360
site2,delayed,2,360,0.8661195033663325,181.6816,23,93.6111,567.87982,0,1,0,0.6408744709317017,0.35304005070373357,0.04863572694363833,0.3138888888888889,2409.114428571428,1531.5255914285713,mpc,99,normal,main,0,0.3,0.9,360
site2,delayed,3,360,0.3959946870025822,95.352,14,96.1111,654.20942,0,2,0,0.6408744709317017,0.2506055658684577,0.054236293064758634,0.36666666666666664,2409.114428571428,1617.8551914285713,mpc,99,normal,main,0,0.3,0.9,360
site2,delayed,4,360,0.48760993963376853,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.42420906244415324,0.14215567946920057,0.41944444444444445,2409.114428571428,1713.2071914285712,mpc,99,normal,main,0,0.3,0.9,360
site2,delayed,5,360,0.8031388874217213,220.0202,26,92.7778,529.5412200000001,0,1,0,0.6408744709317017,0.33639555983373864,0.05467311672262491,0.2972222222222222,2409.114428571428,1493.1869914285712,mpc,99,normal,main,0,0.3,0.9,360
site2,delayed,6,360,0.6829172001609267,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.4178496563046449,0.08956293596565645,0.4222222222222222,2409.114428571428,1713.2071914285712,mpc,99,normal,main,0,0.3,0.9,360
site2,delayed,7,360,0.8894447132780015,0.0,0,100.0,749.56142,0,1,0,0.6408744709317017,0.5393771694217196,0.15314504206815727,0.41388888888888886,2409.114428571428,1713.2071914285712,mpc,99,normal,main,0,0.3,0.9,360
site2,delayed,8,360,0.6891215516401548,108.78240000000001,13,96.3889,640.77902,0,1,0,0.6408744709317017,0.33715052935164985,0.056743465993486196,0.3416666666666667,2409.114428571428,1604.424791428571,mpc,99,normal,main,0,0.3,0.9,360
site2,delayed,9,360,0.813596290397157,126.98160000000001,15,95.8333,622.57982,0,1,0,0.6408744709317017,0.38224196718088665,0.05093668897604628,0.3416666666666667,2409.114428571428,1586.2255914285713,mpc,99,normal,main,0,0.3,0.9,360
