site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,extreme,0,360,0.7094111179488861,319.30364,51,85.8333,391.32652,0,1,0,0.5744197124756335,0.2635310112704995,0.05794292502215593,0.225,1705.3125714285716,1073.4515485714287,mpc,123,normal,main,0,0.3,0.9,360
site5,extreme,1,360,0.7711518684233507,285.46684,45,87.5,425.16332,0,1,0,0.5744197124756335,0.301989257503503,0.06335322554290103,0.2611111111111111,1705.3125714285716,1107.2883485714287,mpc,123,normal,main,0,0.3,0.9,360
site5,extreme,2,360,0.8110496901605238,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.5225515239958772,0.13126377943208745,0.4222222222222222,1705.3125714285716,1392.7551885714286,mpc,123,normal,main,0,0.3,0.9,360
site5,extreme,3,360,0.30370564558119556,207.96656000000002,36,90.0,502.6636,0,2,0,0.5744197124756335,0.24924178845239633,0.06634117441166215,0.2777777777777778,1705.3125714285716,1184.7886285714285,mpc,123,normal,main,0,0.3,0.9,360
site5,extreme,4,360,0.33747994064002396,547.84512,82,77.2222,162.78504,0,1,0,0.5744197124756335,0.11239319175597393,0.06648048002512487,0.10555555555555556,1705.3125714285716,844.9100685714286,mpc,123,normal,main,0,0.3,0.9,360
site5,extreme,5,360,0.6955075805601405,51.258,6,98.3333,659.37216,0,2,0,0.5744197124756335,0.431166688066472,0.09120228859298304,0.40555555555555556,1705.3125714285716,1341.4971885714285,mpc,123,normal,main,0,0.3,0.9,360
site5,extreme,6,360,0.5305898231297899,429.51444,66,81.6667,281.11572,0,1,0,0.5744197124756335,0.17727199545334094,0.06259713479449197,0.175,1705.3125714285716,963.2407485714286,mpc,123,normal,main,0,0.3,0.9,360
site5,extreme,7,360,0.5719682377379023,1.3388000000000035,1,99.7222,709.2913599999999,0,2,0,0.5744197124756335,0.43521722241389005,0.11975549359955305,0.41388888888888886,1705.3125714285716,1391.4163885714286,mpc,123,normal,main,0,0.3,0.9,360
site5,extreme,8,360,0.6878781181479202,54.024,6,98.3333,656.60616,0,2,0,0.5744197124756335,0.38656701243805885,0.06822365756631636,0.3972222222222222,1705.3125714285716,1338.7311885714287,mpc,123,normal,main,0,0.3,0.9,360
site5,extreme,9,360,0.38556079466672327,515.33484,76,78.8889,195.29532,0,1,0,0.5744197124756335,0.12420729062429453,0.06043923324674195,0.12222222222222222,1705.3125714285716,877.4203485714286,mpc,123,normal,main,0,0.3,0.9,360
