site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,monsoon,0,360,0.6400458858338742,61.831999999999994,7,98.0556,648.79816,0,2,0,0.5744197124756335,0.36904721653909245,0.0631959614143791,0.39444444444444443,1705.3125714285716,1330.9231885714287,mpc,500,normal,main,0,0.3,0.9,360
site5,monsoon,1,360,0.8978558151376326,119.08136,19,94.7222,591.5488,0,1,0,0.5744197124756335,0.45939488060300193,0.06642344803612815,0.3527777777777778,1705.3125714285716,1273.6738285714287,mpc,500,normal,main,0,0.3,0.9,360
site5,monsoon,2,360,0.38375680226035874,9.124800000000004,1,99.7222,701.5053599999999,0,2,0,0.5744197124756335,0.46827611838812117,0.1968647924848361,0.4166666666666667,1705.3125714285716,1383.6303885714285,mpc,500,normal,main,0,0.3,0.9,360
site5,monsoon,3,360,0.5469648678219678,88.44680000000001,13,96.3889,622.18336,0,2,0,0.5744197124756335,0.3348594842555298,0.0676783877425917,0.375,1705.3125714285716,1304.3083885714286,mpc,500,normal,main,0,0.3,0.9,360
site5,monsoon,4,360,0.307781120326638,111.21416,19,94.7222,599.4159999999999,0,2,0,0.5744197124756335,0.364094361749934,0.06325168388418234,0.3527777777777778,1705.3125714285716,1281.5410285714286,mpc,500,normal,main,0,0.3,0.9,360
site5,monsoon,5,360,0.8102537803087884,29.36,3,99.1667,681.27016,0,1,0,0.5744197124756335,0.4550839809171317,0.05960065820132405,0.41388888888888886,1705.3125714285716,1363.3951885714287,mpc,500,normal,main,0,0.3,0.9,360
site5,monsoon,6,360,0.4806350129551042,462.51324,70,80.5556,248.11692,0,1,0,0.5744197124756335,0.1613471707248763,0.06757769829381811,0.15,1705.3125714285716,930.2419485714286,mpc,500,normal,main,0,0.3,0.9,360
site5,monsoon,7,360,0.46137535805531094,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.49954385855733124,0.18619619563380485,0.4222222222222222,1705.3125714285716,1392.7551885714286,mpc,500,normal,main,0,0.3,0.9,360
site5,monsoon,8,360,0.8075146127270791,29.36,3,99.1667,681.27016,0,1,0,0.5744197124756335,0.4506781466687559,0.056861490619614895,0.41388888888888886,1705.3125714285716,1363.3951885714287,mpc,500,normal,main,0,0.3,0.9,360
site5,monsoon,9,360,0.5264223036325569,177.9684,25,93.0556,532.66176,0,1,0,0.5744197124756335,0.3173198818748422,0.06898225195813246,0.3194444444444444,1705.3125714285716,1214.7867885714286,mpc,500,normal,main,0,0.3,0.9,360
