site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,normal,0,360,0.6666563579681828,2.9210000000000003,1,99.7222,746.64042,0,2,0,0.6408744709317017,0.4809536161948146,0.19184015799927678,0.3611111111111111,2409.114428571428,1710.2861914285713,mpc_forecast,777,normal,main,0,0.3,0.9,360
site2,normal,1,360,0.4580150269753279,2.9210000000000003,1,99.7222,746.64042,0,2,0,0.6408744709317017,0.5373122852019597,0.19279765695108617,0.35833333333333334,2409.114428571428,1710.2861914285713,mpc_forecast,777,normal,main,0,0.3,0.9,360
site2,normal,2,360,0.5369484771122555,2.9210000000000003,1,99.7222,746.64042,0,2,0,0.6408744709317017,0.4995790686722205,0.19569910331066973,0.3611111111111111,2409.114428571428,1710.2861914285713,mpc_forecast,777,normal,main,0,0.3,0.9,360
site2,normal,3,360,0.5160688375398393,2.9210000000000003,1,99.7222,746.64042,0,2,0,0.6408744709317017,0.49036609576647106,0.17481946373825358,0.3611111111111111,2409.114428571428,1710.2861914285713,mpc_forecast,777,normal,main,0,0.3,0.9,360
site2,normal,4,360,0.5726457547994304,2.9210000000000003,1,99.7222,746.64042,0,2,0,0.6408744709317017,0.4636096796927286,0.14108618965464179,0.3611111111111111,2409.114428571428,1710.2861914285713,mpc_forecast,777,normal,main,0,0.3,0.9,360
site2,normal,5,360,0.3290369763684188,2.9210000000000003,1,99.7222,746.64042,0,2,0,0.6408744709317017,0.510000901261717,0.1442675325477734,0.3611111111111111,2409.114428571428,1710.2861914285713,mpc_forecast,777,normal,main,0,0.3,0.9,360
site2,normal,6,360,0.4438695439032484,2.9210000000000003,1,99.7222,746.64042,0,2,0,0.6408744709317017,0.4698334687965468,0.10262017010166265,0.3611111111111111,2409.114428571428,1710.2861914285713,mpc_forecast,777,normal,main,0,0.3,0.9,360
site2,normal,7,360,0.5223572142885946,2.9210000000000003,1,99.7222,746.64042,0,2,0,0.6408744709317017,0.44832113918189315,0.16508637411746255,0.3611111111111111,2409.114428571428,1710.2861914285713,mpc_forecast,777,normal,main,0,0.3,0.9,360
site2,normal,8,360,0.5669378459564102,2.9210000000000003,1,99.7222,746.64042,0,2,0,0.6408744709317017,0.5012351041830418,0.1353782808116216,0.3611111111111111,2409.114428571428,1710.2861914285713,mpc_forecast,777,normal,main,0,0.3,0.9,360
site2,normal,9,360,0.8982174966923713,73.94800000000001,9,97.5,675.61342,0,1,0,0.6408744709317017,0.4414208086821756,0.0592140878697394,0.3388888888888889,2409.114428571428,1639.2591914285713,mpc_forecast,777,normal,main,0,0.3,0.9,360
