site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site10,extreme,0,360,0.6750572799628003,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.6054705957089332,0.5324948522448248,0.30833333333333335,974.6851904761904,431.5390861904762,multi,7,multi,phase3_multi,500000,0.3,0.9,360
site10,extreme,1,360,0.49618336596333645,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.42659668170946935,0.3536209382453612,0.3111111111111111,974.6851904761904,431.5390861904762,multi,7,multi,phase3_multi,500000,0.3,0.9,360
site10,extreme,2,360,0.8221495223820507,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.7525628381281836,0.6795870946640752,0.4083333333333333,974.6851904761904,431.5390861904762,multi,7,multi,phase3_multi,500000,0.3,0.9,360
site10,extreme,3,360,0.8736010257773852,0.0,0,100.0,41.66501000000001,0,0,0,0.8073196035033571,0.804014341523518,0.7310385980594097,0.42777777777777776,974.6851904761904,431.5390861904762,multi,7,multi,phase3_multi,500000,0.3,0.9,360
site10,extreme,4,360,0.3771421216615198,0.0,0,100.0,41.66501000000001,0,2,0,0.8073196035033571,0.33338877074098605,0.25080782114622163,0.32222222222222224,974.6851904761904,431.5390861904762,multi,7,multi,phase3_multi,500000,0.3,0.9,360
site10,extreme,5,360,0.45049467486506767,0.0,0,100.0,41.66501000000001,0,2,0,0.8073196035033571,0.7675746572778672,0.45049467486506767,0.35555555555555557,974.6851904761904,431.5390861904762,multi,7,multi,phase3_multi,500000,0.3,0.9,360
site10,extreme,6,360,0.818878552209952,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.7834585346227515,0.6925442516946536,0.4083333333333333,974.6851904761904,431.5390861904762,multi,7,multi,phase3_multi,500000,0.3,0.9,360
site10,extreme,7,360,0.798589991333467,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.7290033070795999,0.6560275636154915,0.38333333333333336,974.6851904761904,431.5390861904762,multi,7,multi,phase3_multi,500000,0.3,0.9,360
site10,extreme,8,360,0.7156460207790915,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.6460593365252244,0.5730835930611159,0.32222222222222224,974.6851904761904,431.5390861904762,multi,7,multi,phase3_multi,500000,0.3,0.9,360
site10,extreme,9,360,0.6401501033276191,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.5705634190737519,0.4975876756096436,0.30833333333333335,974.6851904761904,431.5390861904762,multi,7,multi,phase3_multi,500000,0.3,0.9,360
