site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site3,delayed,0,360,0.6036184047290367,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.7295282619463201,0.41994105785006813,0.65,1314.9257619047619,648.5934047619048,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site3,delayed,1,360,0.8009889783012054,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.8343988355184893,0.6551244672139729,0.6083333333333333,1314.9257619047619,648.5934047619048,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site3,delayed,2,360,0.8661195033663325,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.6728626939169496,0.5666589680532524,0.6444444444444445,1314.9257619047619,648.5934047619048,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site3,delayed,3,360,0.3959946870025822,0.0,0,100.0,122.62310000000004,0,3,0,0.720046309833225,0.5402378775531991,0.25013017591534953,0.7666666666666667,1314.9257619047619,648.5934047619048,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site3,delayed,4,360,0.48760993963376853,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.8276864635177188,0.3961781236720609,0.5888888888888889,1314.9257619047619,648.5934047619048,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site3,delayed,5,360,0.8031388874217213,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.7257154113056717,0.5835230331675453,0.6583333333333333,1314.9257619047619,648.5934047619048,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site3,delayed,6,360,0.6829172001609267,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.737993724044877,0.5370526890736941,0.6666666666666666,1314.9257619047619,648.5934047619048,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site3,delayed,7,360,0.8894447132780015,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.8311879038286185,0.6698288590238253,0.5833333333333334,1314.9257619047619,648.5934047619048,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site3,delayed,8,360,0.6891215516401548,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.7091980755241049,0.543257040552922,0.6666666666666666,1314.9257619047619,648.5934047619048,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site3,delayed,9,360,0.813596290397157,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.7595061476144407,0.5939804361429809,0.6166666666666667,1314.9257619047619,648.5934047619048,multi,99,multi,phase3_multi,500000,0.3,0.9,360
