site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site8,normal,0,360,0.6036184047290367,0.0,0,100.0,26.8936,0,1,0,0.8226001371742111,0.7191547283712855,0.5326536742961642,0.7083333333333334,239.81864761904762,122.82105904761906,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site8,normal,1,360,0.8009889783012054,0.0,0,100.0,26.8936,0,1,0,0.8226001371742111,0.8648586352767877,0.6163790852494062,0.5416666666666666,239.81864761904762,122.82105904761906,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site8,normal,2,360,0.8661195033663325,0.0,0,100.0,26.8936,0,1,0,0.8226001371742111,0.9424891603419149,0.6815096103145333,0.5111111111111111,239.81864761904762,122.82105904761906,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site8,normal,3,360,0.3959946870025822,0.0,0,100.0,26.8936,0,2,0,0.8226001371742111,0.6756976773114978,0.21138479395078308,0.6,239.81864761904762,122.82105904761906,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site8,normal,4,360,0.48760993963376853,0.0,0,100.0,26.8936,0,2,0,0.8226001371742111,0.857312929942684,0.4166452092008961,0.5527777777777778,239.81864761904762,122.82105904761906,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site8,normal,5,360,0.8031388874217213,0.0,0,100.0,26.8936,0,1,0,0.8226001371742111,0.7886752110639703,0.6185289943699223,0.5,239.81864761904762,122.82105904761906,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site8,normal,6,360,0.6829172001609267,0.0,0,100.0,26.8936,0,1,0,0.8226001371742111,0.7709535238031757,0.5264955029932007,0.6111111111111112,239.81864761904762,122.82105904761906,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site8,normal,7,360,0.8894447132780015,0.0,0,100.0,26.8936,0,0,0,0.8226001371742111,0.7208143702535839,0.7048348202262024,0.75,239.81864761904762,122.82105904761906,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site8,normal,8,360,0.6891215516401548,0.0,0,100.0,26.8936,0,1,0,0.8226001371742111,0.8104912086157369,0.6181568212072822,0.6194444444444445,239.81864761904762,122.82105904761906,multi,99,multi,phase3_multi,500000,0.3,0.9,360
site8,normal,9,360,0.813596290397157,0.0,0,100.0,26.8936,0,1,0,0.8226001371742111,0.8482992807060729,0.6289863973453578,0.5138888888888888,239.81864761904762,122.82105904761906,multi,99,multi,phase3_multi,500000,0.3,0.9,360
