site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,extreme,0,360,0.6036184047290367,211.56096,31,91.3889,499.0692,0,1,0,0.5744197124756335,0.3219069887062655,0.06901498595976681,0.5611111111111111,1705.3125714285716,1181.1942285714285,oracle_mpc,99,normal,main,0,0.3,0.9,360
site5,extreme,1,360,0.8009889783012054,129.03016,22,93.8889,581.5999999999999,0,1,0,0.5744197124756335,0.430034604805509,0.06336566887395241,0.6416666666666667,1705.3125714285716,1263.7250285714285,oracle_mpc,99,normal,main,0,0.3,0.9,360
site5,extreme,2,360,0.8661195033663325,226.69403999999997,38,89.4444,483.93612,0,1,0,0.5744197124756335,0.36592729581627287,0.060477734982290234,0.575,1705.3125714285716,1166.0611485714287,oracle_mpc,99,normal,main,0,0.3,0.9,360
site5,extreme,3,360,0.3959946870025822,512.02604,76,78.8889,198.60412000000002,0,1,0,0.5744197124756335,0.1355804954772174,0.06536473847723441,0.31666666666666665,1705.3125714285716,880.7291485714286,oracle_mpc,99,normal,main,0,0.3,0.9,360
site5,extreme,4,360,0.48760993963376853,459.78644,69,80.8333,250.84372,0,1,0,0.5744197124756335,0.16640452972698827,0.07001313332629247,0.39444444444444443,1705.3125714285716,932.9687485714286,oracle_mpc,99,normal,main,0,0.3,0.9,360
site5,extreme,5,360,0.8031388874217213,265.42163999999997,45,87.5,445.20852,0,1,0,0.5744197124756335,0.3226851391392077,0.061969620386141754,0.5583333333333333,1705.3125714285716,1127.3335485714288,oracle_mpc,99,normal,main,0,0.3,0.9,360
site5,extreme,6,360,0.6829172001609267,334.14364,53,85.2778,376.48652000000004,0,1,0,0.5744197124756335,0.24903360264727747,0.056154176674368055,0.5222222222222223,1705.3125714285716,1058.6115485714286,oracle_mpc,99,normal,main,0,0.3,0.9,360
site5,extreme,7,360,0.8894447132780015,218.50827999999998,35,90.2778,492.12188000000003,0,1,0,0.5744197124756335,0.3879057465889157,0.07017554679445913,0.5833333333333334,1705.3125714285716,1174.2469085714288,oracle_mpc,99,normal,main,0,0.3,0.9,360
site5,extreme,8,360,0.6891215516401548,106.0368,14,96.1111,604.5933600000001,0,1,0,0.5744197124756335,0.3807787250550542,0.066117576172188,0.6638888888888889,1705.3125714285716,1286.7183885714287,oracle_mpc,99,normal,main,0,0.3,0.9,360
site5,extreme,9,360,0.813596290397157,262.41084,43,88.0556,448.21932000000004,0,1,0,0.5744197124756335,0.331199849376957,0.06741473736761065,0.5583333333333333,1705.3125714285716,1130.3443485714288,oracle_mpc,99,normal,main,0,0.3,0.9,360
