site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,extreme,0,360,0.853525304393131,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.44512442720351586,0.07450421806124274,0.49722222222222223,2409.114428571428,1713.2071914285712,rlinv,314,normal,phase3_rlinv,400000,0.3,0.9,360
site2,extreme,1,360,0.7712925668766641,41.69,7,98.0556,707.8714200000001,0,2,0,0.6408744709317017,0.3343781847545569,0.052285760747693207,0.48055555555555557,2409.114428571428,1671.5171914285713,rlinv,314,normal,phase3_rlinv,400000,0.3,0.9,360
site2,extreme,2,360,0.8979159277877529,163.8116,21,94.1667,585.74982,0,1,0,0.6408744709317017,0.3797280796198349,0.054707632602138706,0.37777777777777777,2409.114428571428,1549.3955914285712,rlinv,314,normal,phase3_rlinv,400000,0.3,0.9,360
site2,extreme,3,360,0.8605742878096678,0.0,0,100.0,749.56142,0,3,0,0.6408744709317017,0.5538400772867191,0.26722002361439745,0.4861111111111111,2409.114428571428,1713.2071914285712,rlinv,314,normal,phase3_rlinv,400000,0.3,0.9,360
site2,extreme,4,360,0.8753426436498792,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.6627750997935975,0.4395781921421088,0.4888888888888889,2409.114428571428,1713.2071914285712,rlinv,314,normal,phase3_rlinv,400000,0.3,0.9,360
site2,extreme,5,360,0.4270571310405749,282.6406,37,89.7222,466.92082,0,2,0,0.6408744709317017,0.1665510371623163,0.04802049771357565,0.2722222222222222,2409.114428571428,1430.5665914285712,rlinv,314,normal,phase3_rlinv,400000,0.3,0.9,360
site2,extreme,6,360,0.7883314344052785,28.935000000000002,5,98.6111,720.62642,0,2,0,0.6408744709317017,0.4670011826399267,0.050963339142505316,0.48055555555555557,2409.114428571428,1684.2721914285712,rlinv,314,normal,phase3_rlinv,400000,0.3,0.9,360
site2,extreme,7,360,0.6952600172319741,301.83860000000004,38,89.4444,447.72282,0,1,0,0.6408744709317017,0.23795376765983628,0.05074663817895881,0.2777777777777778,2409.114428571428,1411.3685914285713,rlinv,314,normal,phase3_rlinv,400000,0.3,0.9,360
site2,extreme,8,360,0.4851950508213928,243.23360000000002,31,91.3889,506.32782000000003,0,2,0,0.6408744709317017,0.2744537110734845,0.05631763024062619,0.2916666666666667,2409.114428571428,1469.9735914285714,rlinv,314,normal,phase3_rlinv,400000,0.3,0.9,360
site2,extreme,9,360,0.4672876329381078,258.4996,33,90.8333,491.06182,0,2,0,0.6408744709317017,0.25154564939744933,0.060386177854528475,0.28888888888888886,2409.114428571428,1454.7075914285713,rlinv,314,normal,phase3_rlinv,400000,0.3,0.9,360
