site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,extreme,0,360,0.6666563579681828,170.54748,27,92.5,540.08268,0,2,0,0.5744197124756335,0.3020961614070771,0.06754354657317285,0.5083333333333333,1705.3125714285716,1222.2077085714286,rlinv_base_regime,777,normal,rlinv_da,0,0.3,0.9,360
site5,extreme,1,360,0.4580150269753279,470.95324,71,80.2778,239.67692,0,1,0,0.5744197124756335,0.14612537118293123,0.05900836124093174,0.25,1705.3125714285716,921.8019485714286,rlinv_base_regime,777,normal,rlinv_da,0,0.3,0.9,360
site5,extreme,2,360,0.5369484771122555,429.51444,66,81.6667,281.11572,0,1,0,0.5744197124756335,0.18363064943580656,0.06895578877695761,0.28055555555555556,1705.3125714285716,963.2407485714286,rlinv_base_regime,777,normal,rlinv_da,0,0.3,0.9,360
site5,extreme,3,360,0.5160688375398393,435.85323999999997,67,81.3889,274.77692,0,1,0,0.5744197124756335,0.16870152442493833,0.058628785865414666,0.25833333333333336,1705.3125714285716,956.9019485714286,rlinv_base_regime,777,normal,rlinv_da,0,0.3,0.9,360
site5,extreme,4,360,0.5726457547994304,222.85440000000003,33,90.8333,487.77576,0,2,0,0.5744197124756335,0.23091215850661165,0.05910832080751455,0.49722222222222223,1705.3125714285716,1169.9007885714286,rlinv_base_regime,777,normal,rlinv_da,0,0.3,0.9,360
site5,extreme,5,360,0.3290369763684188,554.71232,87,75.8333,155.91784,0,1,0,0.5744197124756335,0.11148227798383638,0.06946981626427075,0.15,1705.3125714285716,838.0428685714287,rlinv_base_regime,777,normal,rlinv_da,0,0.3,0.9,360
site5,extreme,6,360,0.4438695439032484,400.9184399999999,59,83.6111,309.71172,0,2,0,0.5744197124756335,0.16203272602377913,0.059093322129403866,0.30833333333333335,1705.3125714285716,991.8367485714286,rlinv_base_regime,777,normal,rlinv_da,0,0.3,0.9,360
site5,extreme,7,360,0.5223572142885946,435.85323999999997,67,81.3889,274.77692,0,1,0,0.5744197124756335,0.17498990117369367,0.06491716261416997,0.25555555555555554,1705.3125714285716,956.9019485714286,rlinv_base_regime,777,normal,rlinv_da,0,0.3,0.9,360
site5,extreme,8,360,0.5669378459564102,408.94244,63,82.5,301.68772,0,1,0,0.5744197124756335,0.19450108238539976,0.06469753324623322,0.2861111111111111,1705.3125714285716,983.8127485714286,rlinv_base_regime,777,normal,rlinv_da,0,0.3,0.9,360
site5,extreme,9,360,0.8982174966923713,211.56403999999998,36,90.0,499.06612,0,1,0,0.5744197124756335,0.38885130304202153,0.06738777590739946,0.45,1705.3125714285716,1181.1911485714286,rlinv_base_regime,777,normal,rlinv_da,0,0.3,0.9,360
