site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site7,normal,0,360,0.7643736291335781,0.0,0,100.0,276.784,0,3,0,0.700036537298751,0.8093807379430348,0.6661951673940498,0.525,765.2942142857142,582.9016857142857,rlinv_base_regime,42,normal,rlinv_da,0,0.3,0.9,360
site7,normal,1,360,0.6913795576205464,0.0,0,100.0,276.784,0,4,0,0.700036537298751,0.7630533330966693,0.5932010958810181,0.5861111111111111,765.2942142857142,582.9016857142857,rlinv_base_regime,42,normal,rlinv_da,0,0.3,0.9,360
site7,normal,2,360,0.37353930580432293,0.0,0,100.0,276.784,0,5,0,0.700036537298751,0.7352130812804459,0.27536084406479483,0.5694444444444444,765.2942142857142,582.9016857142857,rlinv_base_regime,42,normal,rlinv_da,0,0.3,0.9,360
site7,normal,3,360,0.6438783941685035,0.0,0,100.0,276.784,0,4,0,0.700036537298751,0.7505521696446262,0.5456999324289752,0.5666666666666667,765.2942142857142,582.9016857142857,rlinv_base_regime,42,normal,rlinv_da,0,0.3,0.9,360
site7,normal,4,360,0.8433625660141872,0.0,0,100.0,276.784,0,3,0,0.700036537298751,0.7725363414903105,0.6182880708171671,0.5666666666666667,765.2942142857142,582.9016857142857,rlinv_base_regime,42,normal,rlinv_da,0,0.3,0.9,360
site7,normal,5,360,0.7450811967855364,0.0,0,100.0,276.784,0,3,0,0.700036537298751,0.7925883055949929,0.6057777922243397,0.5194444444444445,765.2942142857142,582.9016857142857,rlinv_base_regime,42,normal,rlinv_da,0,0.3,0.9,360
site7,normal,6,360,0.5326199233713568,0.0,0,100.0,276.784,0,4,0,0.700036537298751,0.73179369884748,0.43444146163182856,0.625,765.2942142857142,582.9016857142857,rlinv_base_regime,42,normal,rlinv_da,0,0.3,0.9,360
site7,normal,7,360,0.5177125153656817,0.0,0,100.0,276.784,0,4,0,0.700036537298751,0.711886290841805,0.4195340536261535,0.6027777777777777,765.2942142857142,582.9016857142857,rlinv_base_regime,42,normal,rlinv_da,0,0.3,0.9,360
site7,normal,8,360,0.7724536151319743,0.0,0,100.0,276.784,0,3,0,0.700036537298751,0.759960723941431,0.5748948684809908,0.575,765.2942142857142,582.9016857142857,rlinv_base_regime,42,normal,rlinv_da,0,0.3,0.9,360
site7,normal,9,360,0.8654647177622501,0.0,0,100.0,276.784,0,3,0,0.700036537298751,0.8154718265717067,0.64039022256523,0.5472222222222223,765.2942142857142,582.9016857142857,rlinv_base_regime,42,normal,rlinv_da,0,0.3,0.9,360
