site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,delayed,0,360,0.7643736291335781,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.7251394186106298,0.5282642934509212,0.5222222222222223,2409.114428571428,1713.2071914285712,rlinv_da_ewma,42,normal,rlinv_da,0,0.3,0.9,360
site2,delayed,1,360,0.6913795576205464,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.7338120137642646,0.45527022193788935,0.5333333333333333,2409.114428571428,1713.2071914285712,rlinv_da_ewma,42,normal,rlinv_da,0,0.3,0.9,360
site2,delayed,2,360,0.37353930580432293,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.6476384286147077,0.21105506872992189,0.5083333333333333,2409.114428571428,1713.2071914285712,rlinv_da_ewma,42,normal,rlinv_da,0,0.3,0.9,360
site2,delayed,3,360,0.6438783941685035,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.6913108503122217,0.5075787229586594,0.5222222222222223,2409.114428571428,1713.2071914285712,rlinv_da_ewma,42,normal,rlinv_da,0,0.3,0.9,360
site2,delayed,4,360,0.8433625660141872,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.6624616888245722,0.4778575765803858,0.5055555555555555,2409.114428571428,1713.2071914285712,rlinv_da_ewma,42,normal,rlinv_da,0,0.3,0.9,360
site2,delayed,5,360,0.7450811967855364,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.7133469862625881,0.5561068666019092,0.5416666666666666,2409.114428571428,1713.2071914285712,rlinv_da_ewma,42,normal,rlinv_da,0,0.3,0.9,360
site2,delayed,6,360,0.5326199233713568,0.0,0,100.0,749.56142,0,5,0,0.6408744709317017,0.672552379515075,0.40718935797896794,0.5055555555555555,2409.114428571428,1713.2071914285712,rlinv_da_ewma,42,normal,rlinv_da,0,0.3,0.9,360
site2,delayed,7,360,0.5177125153656817,0.0,0,100.0,749.56142,0,5,0,0.6408744709317017,0.6384783048427335,0.38036258705460374,0.5055555555555555,2409.114428571428,1713.2071914285712,rlinv_da_ewma,42,normal,rlinv_da,0,0.3,0.9,360
site2,delayed,8,360,0.7724536151319743,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.6523860712756924,0.3775305439670436,0.4861111111111111,2409.114428571428,1713.2071914285712,rlinv_da_ewma,42,normal,rlinv_da,0,0.3,0.9,360
site2,delayed,9,360,0.8654647177622501,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.7270638405726351,0.5675468346871695,0.5361111111111111,2409.114428571428,1713.2071914285712,rlinv_da_ewma,42,normal,rlinv_da,0,0.3,0.9,360
