site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,monsoon,0,360,0.6666563579681828,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.48575548077856767,0.1876352716362946,0.7194444444444444,2409.114428571428,1713.2071914285712,rlinv_da_ewma,777,normal,rlinv_da,0,0.3,0.9,360
site2,monsoon,1,360,0.4580150269753279,266.5226,34,90.5556,483.03882,0,2,0,0.6408744709317017,0.27667433297154176,0.0527097300565122,0.4861111111111111,2409.114428571428,1446.6845914285714,rlinv_da_ewma,777,normal,rlinv_da,0,0.3,0.9,360
site2,monsoon,2,360,0.5369484771122555,73.3246,9,97.5,676.2368200000001,0,3,0,0.6408744709317017,0.27116765967300555,0.06052690594444573,0.7638888888888888,2409.114428571428,1639.8825914285712,rlinv_da_ewma,777,normal,rlinv_da,0,0.3,0.9,360
site2,monsoon,3,360,0.5160688375398393,0.0,0,100.0,749.56142,0,3,0,0.6408744709317017,0.43516796035022415,0.10916738245625987,0.7611111111111111,2409.114428571428,1713.2071914285712,rlinv_da_ewma,777,normal,rlinv_da,0,0.3,0.9,360
site2,monsoon,4,360,0.5726457547994304,0.0,0,100.0,749.56142,0,3,0,0.6408744709317017,0.4475782109431485,0.09362466846754207,0.75,2409.114428571428,1713.2071914285712,rlinv_da_ewma,777,normal,rlinv_da,0,0.3,0.9,360
site2,monsoon,5,360,0.3290369763684188,44.734,5,98.6111,704.8274200000001,0,3,0,0.6408744709317017,0.2901602475649551,0.047978945769629015,0.7777777777777778,2409.114428571428,1668.4731914285712,rlinv_da_ewma,777,normal,rlinv_da,0,0.3,0.9,360
site2,monsoon,6,360,0.4438695439032484,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.5754686667136333,0.20776020822059144,0.6805555555555556,2409.114428571428,1713.2071914285712,rlinv_da_ewma,777,normal,rlinv_da,0,0.3,0.9,360
site2,monsoon,7,360,0.5223572142885946,0.0,0,100.0,749.56142,0,3,0,0.6408744709317017,0.4539563370989795,0.1684404943590744,0.7222222222222222,2409.114428571428,1713.2071914285712,rlinv_da_ewma,777,normal,rlinv_da,0,0.3,0.9,360
site2,monsoon,8,360,0.5669378459564102,151.04559999999998,19,94.7222,598.5158200000001,0,3,0,0.6408744709317017,0.2620482528142345,0.04807384185660997,0.6722222222222223,2409.114428571428,1562.1615914285712,rlinv_da_ewma,777,normal,rlinv_da,0,0.3,0.9,360
site2,monsoon,9,360,0.8982174966923713,71.027,8,97.7778,678.5344200000001,0,2,0,0.6408744709317017,0.40788933993259546,0.05500920150675738,0.6694444444444444,2409.114428571428,1642.1801914285713,rlinv_da_ewma,777,normal,rlinv_da,0,0.3,0.9,360
