site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,delayed,0,360,0.7643736291335781,396.82692000000003,57,84.1667,313.80324,0,2,0,0.5744197124756335,0.7243130008424224,0.6462362390915593,0.39166666666666666,1705.3125714285716,995.9282685714286,RLInv,42,normal,main,0,0.3,0.9,360
site5,delayed,1,360,0.6913795576205464,165.2224,22,93.8889,545.40776,0,4,0,0.5744197124756335,0.8193471427216787,0.676028857418776,0.7027777777777777,1705.3125714285716,1227.5327885714287,RLInv,42,normal,main,0,0.3,0.9,360
site5,delayed,2,360,0.37353930580432293,352.58904,47,86.9444,358.04112,0,3,0,0.5744197124756335,0.7454802923389324,0.37353930580432293,0.4527777777777778,1705.3125714285716,1040.1661485714285,RLInv,42,normal,main,0,0.3,0.9,360
site5,delayed,3,360,0.6438783941685035,319.12572,48,86.6667,391.50444000000005,0,3,0,0.5744197124756335,0.7537541421121439,0.6438783941685035,0.40555555555555556,1705.3125714285716,1073.6294685714288,RLInv,42,normal,main,0,0.3,0.9,360
site5,delayed,4,360,0.8433625660141872,238.7432,32,91.1111,471.88696000000004,0,3,0,0.5744197124756335,0.7700566547530252,0.6493202409314481,0.6222222222222222,1705.3125714285716,1154.0119885714287,RLInv,42,normal,main,0,0.3,0.9,360
site5,delayed,5,360,0.7450811967855364,309.02504,43,88.0556,401.60512000000006,0,2,0,0.5744197124756335,0.7626649061716506,0.6765015109607092,0.46944444444444444,1705.3125714285716,1083.7301485714288,RLInv,42,normal,main,0,0.3,0.9,360
site5,delayed,6,360,0.5326199233713568,254.32344000000003,34,90.5556,456.30672000000004,0,3,0,0.5744197124756335,0.7666916789773733,0.5326199233713568,0.5277777777777778,1705.3125714285716,1138.4317485714287,RLInv,42,normal,main,0,0.3,0.9,360
site5,delayed,7,360,0.5177125153656817,232.64024,36,90.0,477.98992,0,4,0,0.5744197124756335,0.7509545575856993,0.5177125153656817,0.5277777777777778,1705.3125714285716,1160.1149485714286,RLInv,42,normal,main,0,0.3,0.9,360
site5,delayed,8,360,0.7724536151319743,190.68864,26,92.7778,519.9415200000001,0,3,0,0.5744197124756335,0.7835313006445642,0.6602308157898912,0.625,1705.3125714285716,1202.0665485714287,RLInv,42,normal,main,0,0.3,0.9,360
site5,delayed,9,360,0.8654647177622501,337.94588000000005,49,86.3889,372.68428,0,2,0,0.5744197124756335,0.7659548601110834,0.6592895574450116,0.4583333333333333,1705.3125714285716,1054.8093085714286,RLInv,42,normal,main,0,0.3,0.9,360
