site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,normal,0,360,0.7643736291335781,166.00464,24,93.3333,544.62552,0,3,0,0.5744197124756335,0.7958369564959406,0.6573984475072986,0.6277777777777778,1705.3125714285716,1226.7505485714287,RLInv,42,normal,main,0,0.3,0.9,360
site5,normal,1,360,0.6913795576205464,84.23228,14,96.1111,626.39788,0,4,0,0.5744197124756335,0.829100225688578,0.676028857418776,0.7194444444444444,1705.3125714285716,1308.5229085714286,RLInv,42,normal,main,0,0.3,0.9,360
site5,normal,2,360,0.37353930580432293,323.44424,44,87.7778,387.18592,0,4,0,0.5744197124756335,0.738219360541922,0.37353930580432293,0.4722222222222222,1705.3125714285716,1069.3109485714285,RLInv,42,normal,main,0,0.3,0.9,360
site5,normal,3,360,0.6438783941685035,197.71344,27,92.5,512.9167199999999,0,4,0,0.5744197124756335,0.7952734660088276,0.6438783941685035,0.5944444444444444,1705.3125714285716,1195.0417485714286,RLInv,42,normal,main,0,0.3,0.9,360
site5,normal,4,360,0.8433625660141872,238.7432,32,91.1111,471.88696000000004,0,3,0,0.5744197124756335,0.7700566547530252,0.6493202409314481,0.6222222222222222,1705.3125714285716,1154.0119885714287,RLInv,42,normal,main,0,0.3,0.9,360
site5,normal,5,360,0.7450811967855364,121.07664000000001,17,95.2778,589.55352,0,3,0,0.5744197124756335,0.7959259108485413,0.6636108729547029,0.6555555555555556,1705.3125714285716,1271.6785485714286,RLInv,42,normal,main,0,0.3,0.9,360
site5,normal,6,360,0.5326199233713568,161.20464,21,94.1667,549.42552,0,4,0,0.5744197124756335,0.8070216713046392,0.5326199233713568,0.6555555555555556,1705.3125714285716,1231.5505485714286,RLInv,42,normal,main,0,0.3,0.9,360
site5,normal,7,360,0.5177125153656817,92.64104,13,96.3889,617.9891200000001,0,5,0,0.5744197124756335,0.8086694108011818,0.5177125153656817,0.7333333333333333,1705.3125714285716,1300.1141485714288,RLInv,42,normal,main,0,0.3,0.9,360
site5,normal,8,360,0.7724536151319743,109.00584,15,95.8333,601.6243200000001,0,3,0,0.5744197124756335,0.790418815544245,0.662651656032015,0.7027777777777777,1705.3125714285716,1283.7493485714288,RLInv,42,normal,main,0,0.3,0.9,360
site5,normal,9,360,0.8654647177622501,109.41440000000001,18,95.0,601.21576,0,3,0,0.5744197124756335,0.815858886557971,0.6592895574450116,0.75,1705.3125714285716,1283.3407885714287,RLInv,42,normal,main,0,0.3,0.9,360
