site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,delayed,0,360,0.7643736291335781,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.5826394186106296,0.2753992989499508,0.48333333333333334,2409.114428571428,1713.2071914285712,beta_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,delayed,1,360,0.6913795576205464,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.8179786804309312,0.6459252974559786,0.5305555555555556,2409.114428571428,1713.2071914285712,beta_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,delayed,2,360,0.37353930580432293,0.0,0,100.0,749.56142,0,5,0,0.6408744709317017,0.5693050952813743,0.2377748542965522,0.49166666666666664,2409.114428571428,1713.2071914285712,beta_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,delayed,3,360,0.6438783941685035,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.6671441836455548,0.454904063984876,0.49722222222222223,2409.114428571428,1713.2071914285712,beta_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,delayed,4,360,0.8433625660141872,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.7224616888245723,0.40706289480434343,0.5583333333333333,2409.114428571428,1713.2071914285712,beta_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,delayed,5,360,0.7450811967855364,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.6491803195959214,0.30878152557569233,0.49444444444444446,2409.114428571428,1713.2071914285712,beta_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,delayed,6,360,0.5326199233713568,0.0,0,100.0,749.56142,0,5,0,0.6408744709317017,0.7308857128484086,0.42260477944648905,0.5416666666666666,2409.114428571428,1713.2071914285712,beta_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,delayed,7,360,0.5177125153656817,0.0,0,100.0,749.56142,0,5,0,0.6408744709317017,0.7334783048427334,0.45563969784709735,0.525,2409.114428571428,1713.2071914285712,beta_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,delayed,8,360,0.7724536151319743,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.7707194046090258,0.5934325288000861,0.5555555555555556,2409.114428571428,1713.2071914285712,beta_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,delayed,9,360,0.8654647177622501,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.6395638405726348,0.4244220614141815,0.5194444444444445,2409.114428571428,1713.2071914285712,beta_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
