site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site7,monsoon,0,360,0.7643736291335781,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.5477140712763678,0.16002807597406685,0.875,765.2942142857142,582.9016857142857,lam_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site7,monsoon,1,360,0.6913795576205464,0.0,0,100.0,276.784,0,4,0,0.700036537298751,0.7613866664300029,0.5169290250452344,0.7472222222222222,765.2942142857142,582.9016857142857,lam_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site7,monsoon,2,360,0.37353930580432293,43.213800000000006,12,96.6667,233.57020000000003,0,3,0,0.700036537298751,0.45347609978807346,0.12946222941407276,0.7277777777777777,765.2942142857142,539.6878857142857,lam_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site7,monsoon,3,360,0.6438783941685035,0.0,0,100.0,276.784,0,4,0,0.700036537298751,0.6422188363112933,0.4473492822296679,0.8444444444444444,765.2942142857142,582.9016857142857,lam_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site7,monsoon,4,360,0.8433625660141872,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.6058696748236437,0.23901701285467622,0.8388888888888889,765.2942142857142,582.9016857142857,lam_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site7,monsoon,5,360,0.7450811967855364,0.0,0,100.0,276.784,0,3,0,0.700036537298751,0.6159216389283261,0.25751885606803,0.8527777777777777,765.2942142857142,582.9016857142857,lam_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site7,monsoon,6,360,0.5326199233713568,0.0,0,100.0,276.784,0,4,0,0.700036537298751,0.6326270321808133,0.3075454281743366,0.8527777777777777,765.2942142857142,582.9016857142857,lam_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site7,monsoon,7,360,0.5177125153656817,0.0,0,100.0,276.784,0,3,0,0.700036537298751,0.48438629084180496,0.21336696220617074,0.9388888888888889,765.2942142857142,582.9016857142857,lam_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site7,monsoon,8,360,0.7724536151319743,0.0,0,100.0,276.784,0,3,0,0.700036537298751,0.6591273906080974,0.45754761630821433,0.8611111111111112,765.2942142857142,582.9016857142857,lam_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
site7,monsoon,9,360,0.8654647177622501,0.0,0,100.0,276.784,0,3,0,0.700036537298751,0.5746384932383733,0.3259524325894083,0.8972222222222223,765.2942142857142,582.9016857142857,lam_high,42,normal,reward_sensitivity,400000,0.3,0.9,360
