site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,extreme,0,360,0.7643736291335781,292.81683999999996,46,87.2222,417.81332000000003,0,1,0,0.5744197124756335,0.2995276250597037,0.06881103715510005,0.5055555555555555,1705.3125714285716,1099.9383485714286,lam_vhigh,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,extreme,1,360,0.6913795576205464,329.53364,52,85.5556,381.09652,0,1,0,0.5744197124756335,0.2535889788803102,0.05694194982676452,0.4027777777777778,1705.3125714285716,1063.2215485714287,lam_vhigh,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,extreme,2,360,0.37353930580432293,527.13204,78,78.3333,183.49812,0,1,0,0.5744197124756335,0.12375434880345204,0.06805735522797991,0.2916666666666667,1705.3125714285716,865.6231485714286,lam_vhigh,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,extreme,3,360,0.6438783941685035,46.40256,10,97.2222,664.2275999999999,0,3,0,0.5744197124756335,0.4032875765894325,0.06869923174699719,0.7166666666666667,1705.3125714285716,1346.3526285714286,lam_vhigh,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,extreme,4,360,0.8433625660141872,239.57484,40,88.8889,471.05532000000005,0,1,0,0.5744197124756335,0.34789004098901216,0.059164351978188125,0.5055555555555555,1705.3125714285716,1153.1803485714286,lam_vhigh,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,extreme,5,360,0.7450811967855364,118.98068000000002,20,94.4444,591.64948,0,2,0,0.5744197124756335,0.3109751251146486,0.06012158407735705,0.5944444444444444,1705.3125714285716,1273.7745085714287,lam_vhigh,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,extreme,6,360,0.5326199233713568,71.022,9,97.5,639.60816,0,3,0,0.5744197124756335,0.2875987267947132,0.06462723503605887,0.825,1705.3125714285716,1321.7331885714286,lam_vhigh,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,extreme,7,360,0.5177125153656817,435.85323999999997,67,81.3889,274.77692,0,1,0,0.5744197124756335,0.1703452022507808,0.06027246369125714,0.3194444444444444,1705.3125714285716,956.9019485714286,lam_vhigh,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,extreme,8,360,0.7724536151319743,285.46684,45,87.5,425.16332,0,1,0,0.5744197124756335,0.3032910042121265,0.06465497225152449,0.5083333333333333,1705.3125714285716,1107.2883485714287,lam_vhigh,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,extreme,9,360,0.8654647177622501,91.84335999999999,16,95.5556,618.7868000000001,0,2,0,0.5744197124756335,0.4106911111552634,0.0659339828001068,0.6944444444444444,1705.3125714285716,1300.9118285714287,lam_vhigh,42,normal,reward_sensitivity,400000,0.3,0.9,360
