site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,normal,0,360,0.7643736291335781,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.7334727519439631,0.5282642934509212,0.8777777777777778,2409.114428571428,1713.2071914285712,lam_vlow,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,normal,1,360,0.6913795576205464,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.8154786804309313,0.5813644136956787,0.9055555555555556,2409.114428571428,1713.2071914285712,lam_vlow,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,normal,2,360,0.37353930580432293,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.688471761948041,0.26352416187945515,0.8361111111111111,2409.114428571428,1713.2071914285712,lam_vlow,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,normal,3,360,0.6438783941685035,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.6829775169788884,0.4648573078366155,0.8444444444444444,2409.114428571428,1713.2071914285712,lam_vlow,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,normal,4,360,0.8433625660141872,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.701628355491239,0.40706289480434343,0.8833333333333333,2409.114428571428,1713.2071914285712,lam_vlow,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,normal,5,360,0.7450811967855364,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.7200136529292546,0.5333360177935575,0.8861111111111111,2409.114428571428,1713.2071914285712,lam_vlow,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,normal,6,360,0.5326199233713568,0.0,0,100.0,749.56142,0,5,0,0.6408744709317017,0.769219046181742,0.42260477944648905,0.875,2409.114428571428,1713.2071914285712,lam_vlow,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,normal,7,360,0.5177125153656817,0.0,0,100.0,749.56142,0,5,0,0.6408744709317017,0.789311638176067,0.4076973714408141,0.8972222222222223,2409.114428571428,1713.2071914285712,lam_vlow,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,normal,8,360,0.7724536151319743,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.7757194046090259,0.5934325288000861,0.9166666666666666,2409.114428571428,1713.2071914285712,lam_vlow,42,normal,reward_sensitivity,400000,0.3,0.9,360
site2,normal,9,360,0.8654647177622501,0.0,0,100.0,749.56142,0,4,0,0.6408744709317017,0.7595638405726353,0.5675468346871695,0.9111111111111111,2409.114428571428,1713.2071914285712,lam_vlow,42,normal,reward_sensitivity,400000,0.3,0.9,360
