site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,monsoon,0,360,0.6400458858338742,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.4166450086442591,0.16102479950198617,0.3277777777777778,2409.114428571428,1713.2071914285712,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site2,monsoon,1,360,0.8978558151376326,18.21,2,99.4444,731.35142,0,1,0,0.6408744709317017,0.4728479624655645,0.054647519952018386,0.3138888888888889,2409.114428571428,1694.997191428571,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site2,monsoon,2,360,0.38375680226035874,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.39202259173741033,0.08583891918527835,0.32222222222222224,2409.114428571428,1713.2071914285712,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site2,monsoon,3,360,0.5469648678219678,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.44856399063235297,0.20151060765740025,0.3277777777777778,2409.114428571428,1713.2071914285712,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site2,monsoon,4,360,0.307781120326638,153.8066,21,94.1667,595.7548200000001,0,2,0,0.6408744709317017,0.3078280716120801,0.050170261614274486,0.25,2409.114428571428,1559.4005914285713,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site2,monsoon,5,360,0.8102537803087884,0.0,0,100.0,749.56142,0,1,0,0.6408744709317017,0.5151862364525064,0.216899516113518,0.3277777777777778,2409.114428571428,1713.2071914285712,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site2,monsoon,6,360,0.4806350129551042,37.257000000000005,6,98.3333,712.30442,0,2,0,0.6408744709317017,0.3530678969610849,0.05524674114756427,0.30277777777777776,2409.114428571428,1675.9501914285713,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site2,monsoon,7,360,0.46137535805531094,130.6316,17,95.2778,618.9298200000001,0,2,0,0.6408744709317017,0.29371150840179155,0.056070061136495236,0.2722222222222222,2409.114428571428,1582.5755914285714,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site2,monsoon,8,360,0.8075146127270791,0.0,0,100.0,749.56142,0,1,0,0.6408744709317017,0.5107804022041307,0.21416034853180885,0.3277777777777778,2409.114428571428,1713.2071914285712,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site2,monsoon,9,360,0.5264223036325569,81.89500000000001,11,96.9444,667.66642,0,2,0,0.6408744709317017,0.3029433187873583,0.050958888015312474,0.28888888888888886,2409.114428571428,1631.3121914285712,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
