site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,extreme,0,360,0.6036184047290367,319.94324,53,85.2778,390.68692,0,1,0,0.5744197124756335,0.2271956296555833,0.05621091593293077,0.15555555555555556,1705.3125714285716,1072.8119485714287,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,extreme,1,360,0.8009889783012054,264.73163999999997,45,87.5,445.89852,0,1,0,0.5744197124756335,0.32016717737648176,0.05867102077278772,0.18333333333333332,1705.3125714285716,1128.0235485714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,extreme,2,360,0.8661195033663325,91.84335999999999,16,95.5556,618.7868000000001,0,1,0,0.5744197124756335,0.45717923009267925,0.06658876840418926,0.2722222222222222,1705.3125714285716,1300.9118285714287,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,extreme,3,360,0.3959946870025822,507.81631999999996,82,77.2222,202.81384000000003,0,1,0,0.5744197124756335,0.1285164477508847,0.05835652783736388,0.06944444444444445,1705.3125714285716,884.9388685714287,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,extreme,4,360,0.48760993963376853,228.71720000000002,31,91.3889,481.91296,0,1,0,0.5744197124756335,0.29087849459222703,0.06884047016229941,0.2388888888888889,1705.3125714285716,1164.0379885714287,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,extreme,5,360,0.8031388874217213,264.73163999999997,45,87.5,445.89852,0,1,0,0.5744197124756335,0.32231708649699764,0.060820929893303566,0.18333333333333332,1705.3125714285716,1128.0235485714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,extreme,6,360,0.6829172001609267,339.83763999999996,54,85.0,370.79252,0,1,0,0.5744197124756335,0.25404084809117516,0.06563337039352819,0.15833333333333333,1705.3125714285716,1052.9175485714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,extreme,7,360,0.8894447132780015,211.89684,37,89.7222,498.73332,0,1,0,0.5744197124756335,0.38023549622988057,0.05916902755972012,0.20833333333333334,1705.3125714285716,1180.8583485714287,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,extreme,8,360,0.6891215516401548,110.2536,16,95.5556,600.3765599999999,0,1,0,0.5744197124756335,0.37328960339448797,0.05710451772548392,0.2861111111111111,1705.3125714285716,1282.5015885714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,extreme,9,360,0.813596290397157,256.40164,44,87.7778,454.22852,0,1,0,0.5744197124756335,0.32807493955193534,0.057410808513171346,0.18611111111111112,1705.3125714285716,1136.3535485714287,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
