site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site10,normal,0,360,0.7686705532904826,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.8407505357032823,0.6999189707846144,0.6138888888888889,974.6851904761904,431.5390861904762,rlinv_lognormal,21,normal,sensitivity_lognormal,400000,0.3,0.9,360
site10,normal,1,360,0.5198081492592457,0.0,0,100.0,41.66501000000001,0,2,0,0.8073196035033571,0.7702214650053786,0.5198081492592457,0.5194444444444445,974.6851904761904,431.5390861904762,rlinv_lognormal,21,normal,sensitivity_lognormal,400000,0.3,0.9,360
site10,normal,2,360,0.7163598483944187,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.9067731641405518,0.6959504840656406,0.7666666666666667,974.6851904761904,431.5390861904762,rlinv_lognormal,21,normal,sensitivity_lognormal,400000,0.3,0.9,360
site10,normal,3,360,0.49816130200158926,0.0,0,100.0,41.66501000000001,0,2,0,0.8073196035033571,0.7769079510810555,0.47775193767281127,0.5444444444444444,974.6851904761904,431.5390861904762,rlinv_lognormal,21,normal,sensitivity_lognormal,400000,0.3,0.9,360
site10,normal,4,360,0.3964327399392047,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.8901793890186708,0.3964327399392047,0.7222222222222222,974.6851904761904,431.5390861904762,rlinv_lognormal,21,normal,sensitivity_lognormal,400000,0.3,0.9,360
site10,normal,5,360,0.5949593505629427,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.8212059996424088,0.5949593505629427,0.5916666666666667,974.6851904761904,431.5390861904762,rlinv_lognormal,21,normal,sensitivity_lognormal,400000,0.3,0.9,360
site10,normal,6,360,0.7186417298860712,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.9023883789655375,0.6982323655572932,0.7472222222222222,974.6851904761904,431.5390861904762,rlinv_lognormal,21,normal,sensitivity_lognormal,400000,0.3,0.9,360
site10,normal,7,360,0.8111003615892947,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.7631803440020942,0.6847660610739963,0.5027777777777778,974.6851904761904,431.5390861904762,rlinv_lognormal,21,normal,sensitivity_lognormal,400000,0.3,0.9,360
site10,normal,8,360,0.33002818221244135,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.8237748312919074,0.33002818221244135,0.6111111111111112,974.6851904761904,431.5390861904762,rlinv_lognormal,21,normal,sensitivity_lognormal,400000,0.3,0.9,360
site10,normal,9,360,0.4414792828875197,0.0,0,100.0,41.66501000000001,0,2,0,0.8073196035033571,0.8543925986336526,0.4210699185587417,0.7166666666666667,974.6851904761904,431.5390861904762,rlinv_lognormal,21,normal,sensitivity_lognormal,400000,0.3,0.9,360
