site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site3,extreme,0,360,0.6750572799628003,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.49513380384675054,0.37559674464972015,0.6972222222222222,1314.9257619047619,648.5934047619048,rlinv_lognormal,7,normal,sensitivity_lognormal,400000,0.3,0.9,360
site3,extreme,1,360,0.49618336596333645,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.5237598898472866,0.3125060190843678,0.6861111111111111,1314.9257619047619,648.5934047619048,rlinv_lognormal,7,normal,sensitivity_lognormal,400000,0.3,0.9,360
site3,extreme,2,360,0.8221495223820507,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.6288927129326679,0.5226889870689707,0.65,1314.9257619047619,648.5934047619048,rlinv_lognormal,7,normal,sensitivity_lognormal,400000,0.3,0.9,360
site3,extreme,3,360,0.8736010257773852,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.6995108829946689,0.6009772102064173,0.6305555555555555,1314.9257619047619,648.5934047619048,rlinv_lognormal,7,normal,sensitivity_lognormal,400000,0.3,0.9,360
site3,extreme,4,360,0.3771421216615198,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.18388531221213675,0.07768158634843964,0.8527777777777777,1314.9257619047619,648.5934047619048,rlinv_lognormal,7,normal,sensitivity_lognormal,400000,0.3,0.9,360
site3,extreme,5,360,0.45049467486506767,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.25723786541568455,0.15103413955198747,0.8166666666666667,1314.9257619047619,648.5934047619048,rlinv_lognormal,7,normal,sensitivity_lognormal,400000,0.3,0.9,360
site3,extreme,6,360,0.818878552209952,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.8239550760939024,0.6730140411227195,0.6444444444444445,1314.9257619047619,648.5934047619048,rlinv_lognormal,7,normal,sensitivity_lognormal,400000,0.3,0.9,360
site3,extreme,7,360,0.798589991333467,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.705333181884084,0.5676326796210511,0.6527777777777778,1314.9257619047619,648.5934047619048,rlinv_lognormal,7,normal,sensitivity_lognormal,400000,0.3,0.9,360
site3,extreme,8,360,0.7156460207790915,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.5223892113297083,0.4161854854660112,0.6861111111111111,1314.9257619047619,648.5934047619048,rlinv_lognormal,7,normal,sensitivity_lognormal,400000,0.3,0.9,360
site3,extreme,9,360,0.6401501033276191,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.446893293878236,0.3406895680145389,0.725,1314.9257619047619,648.5934047619048,rlinv_lognormal,7,normal,sensitivity_lognormal,400000,0.3,0.9,360
