site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,monsoon,0,360,0.818878552209952,0.0,0,100.0,749.56142,0,1,0,0.6408744709317017,0.5721443416870033,0.2255242880146816,0.3277777777777778,2409.114428571428,1713.2071914285712,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site2,monsoon,1,360,0.798589991333467,0.0,0,100.0,749.56142,0,1,0,0.6408744709317017,0.5218557808105184,0.20523572713819666,0.3277777777777778,2409.114428571428,1713.2071914285712,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site2,monsoon,2,360,0.7156460207790915,89.816,12,96.6667,659.74542,0,1,0,0.6408744709317017,0.37379645219221097,0.055965108458385884,0.28055555555555556,2409.114428571428,1623.3911914285713,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site2,monsoon,3,360,0.6401501033276191,23.775,3,99.1667,725.78642,0,2,0,0.6408744709317017,0.35924749309590487,0.08102082142604895,0.3111111111111111,2409.114428571428,1689.4321914285713,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site2,monsoon,4,360,0.807044875678741,20.421999999999997,3,99.1667,729.13942,0,1,0,0.6408744709317017,0.46642669868227965,0.10014342059516153,0.3194444444444444,2409.114428571428,1692.7851914285711,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site2,monsoon,5,360,0.5395834615305437,18.762999999999998,4,98.8889,730.7984200000001,0,2,0,0.6408744709317017,0.400813719885774,0.08757240013142932,0.31666666666666665,2409.114428571428,1694.4441914285712,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site2,monsoon,6,360,0.5522272774375565,163.44459999999998,22,93.8889,586.11682,0,1,0,0.6408744709317017,0.32296744956134643,0.051212087447518186,0.25,2409.114428571428,1549.7625914285713,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site2,monsoon,7,360,0.4680455775780956,126.965,16,95.5556,622.59642,0,2,0,0.6408744709317017,0.3025227003027481,0.05746207581898195,0.275,2409.114428571428,1586.2421914285712,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site2,monsoon,8,360,0.7686705532904826,250.0482,32,91.1111,499.51322000000005,0,1,0,0.6408744709317017,0.3036819696153394,0.04960299871765085,0.21666666666666667,2409.114428571428,1463.1589914285714,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site2,monsoon,9,360,0.5198081492592457,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.46640727206963056,0.17435388909467778,0.3277777777777778,2409.114428571428,1713.2071914285712,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
