site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,extreme,0,360,0.818878552209952,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.5220470527119722,0.13909264148151573,0.3333333333333333,1705.3125714285716,1392.7551885714286,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site5,extreme,1,360,0.798589991333467,126.21016,22,93.8889,584.4200000000001,0,1,0,0.5744197124756335,0.41112053947155247,0.056272033805049256,0.25277777777777777,1705.3125714285716,1266.5450285714287,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site5,extreme,2,360,0.7156460207790915,316.01164,51,85.8333,394.61852,0,1,0,0.5744197124756335,0.26756346193321284,0.05869740886334205,0.16666666666666666,1705.3125714285716,1076.7435485714286,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site5,extreme,3,360,0.6401501033276191,363.75043999999997,58,83.8889,346.87972,0,1,0,0.5744197124756335,0.23176775291079804,0.06267555764303284,0.14722222222222223,1705.3125714285716,1029.0047485714285,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site5,extreme,4,360,0.807044875678741,264.73163999999997,45,87.5,445.89852,0,1,0,0.5744197124756335,0.32622307475401724,0.06472691815032322,0.18333333333333332,1705.3125714285716,1128.0235485714286,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site5,extreme,5,360,0.5395834615305437,124.85759999999999,17,95.2778,585.77256,0,2,0,0.5744197124756335,0.3409274567833628,0.06765659149571669,0.28055555555555556,1705.3125714285716,1267.8975885714285,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site5,extreme,6,360,0.5522272774375565,417.93123999999995,65,81.9444,292.69892000000004,0,1,0,0.5744197124756335,0.19048187386429669,0.06495123878828332,0.12222222222222222,1705.3125714285716,974.8239485714287,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site5,extreme,7,360,0.4680455775780956,467.54204,71,80.2778,243.08812,0,1,0,0.5744197124756335,0.15381037163879227,0.06336005241012038,0.10555555555555556,1705.3125714285716,925.2131485714286,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site5,extreme,8,360,0.7686705532904826,284.88164,47,86.9444,425.74852,0,1,0,0.5744197124756335,0.29935702182746154,0.05989768769059973,0.17777777777777778,1705.3125714285716,1107.8735485714287,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site5,extreme,9,360,0.5198081492592457,131.7364,18,95.0,578.8937599999999,0,2,0,0.5744197124756335,0.34654730514005994,0.05933289105359995,0.2777777777777778,1705.3125714285716,1261.0187885714286,b1_lognormal08,13,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
