site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site7,normal,0,360,0.7094111179488861,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5335848934250091,0.2118523712979026,0.325,765.2942142857142,582.9016857142857,b1_lognormal08,123,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site7,normal,1,360,0.7711518684233507,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5236589772328072,0.15624586959959075,0.325,765.2942142857142,582.9016857142857,b1_lognormal08,123,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site7,normal,2,360,0.8110496901605238,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5735567989699801,0.21966685672917044,0.325,765.2942142857142,582.9016857142857,b1_lognormal08,123,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site7,normal,3,360,0.30370564558119556,42.3173,13,96.3889,234.4667,0,2,0,0.700036537298751,0.4083127447701708,0.1376248117577622,0.26944444444444443,765.2942142857142,540.5843857142856,b1_lognormal08,123,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site7,normal,4,360,0.33747994064002396,2.179,1,99.7222,274.605,0,2,0,0.700036537298751,0.5279194083914452,0.14807034774974093,0.3194444444444444,765.2942142857142,580.7226857142857,b1_lognormal08,123,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site7,normal,5,360,0.6955075805601405,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5346813560362634,0.197948833909157,0.325,765.2942142857142,582.9016857142857,b1_lognormal08,123,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site7,normal,6,360,0.5305898231297899,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.4647635986059129,0.18054888344476072,0.325,765.2942142857142,582.9016857142857,b1_lognormal08,123,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site7,normal,7,360,0.5719682377379023,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.4378086798806919,0.1866972777954073,0.325,765.2942142857142,582.9016857142857,b1_lognormal08,123,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site7,normal,8,360,0.6878781181479202,3.35,1,99.7222,273.434,0,1,0,0.700036537298751,0.4596722403970072,0.13529650016451822,0.32222222222222224,765.2942142857142,579.5516857142857,b1_lognormal08,123,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
site7,normal,9,360,0.38556079466672327,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.5047345701428464,0.16048629946970314,0.325,765.2942142857142,582.9016857142857,b1_lognormal08,123,normal,sensitivity_lognormal_sigma08,0,0.3,0.9,360
