policy,lead_scenario,mean,std,count,sem,ci95_lo,ci95_hi
beta_high,delayed,0.0,0.0,90,0.0,0.0,0.0
beta_high,extreme,169.73,160.02,90,16.87,136.67,202.79
beta_high,monsoon,16.59,35.28,90,3.72,9.3,23.88
beta_high,normal,0.0,0.0,90,0.0,0.0,0.0
beta_low,delayed,0.29,2.79,90,0.29,-0.28,0.87
beta_low,extreme,168.68,159.92,90,16.86,135.64,201.72
beta_low,monsoon,19.02,41.54,90,4.38,10.43,27.6
beta_low,normal,0.0,0.0,90,0.0,0.0,0.0
cliff_high,delayed,0.0,0.0,90,0.0,0.0,0.0
cliff_high,extreme,168.86,160.16,90,16.88,135.77,201.95
cliff_high,monsoon,16.71,35.39,90,3.73,9.4,24.02
cliff_high,normal,0.0,0.0,90,0.0,0.0,0.0
cliff_low,delayed,0.0,0.0,90,0.0,0.0,0.0
cliff_low,extreme,168.86,160.16,90,16.88,135.77,201.95
cliff_low,monsoon,16.71,35.39,90,3.73,9.4,24.02
cliff_low,normal,0.0,0.0,90,0.0,0.0,0.0
lam_high,delayed,0.0,0.0,90,0.0,0.0,0.0
lam_high,extreme,168.49,159.81,90,16.85,135.47,201.51
lam_high,monsoon,19.49,43.26,90,4.56,10.55,28.42
lam_high,normal,0.0,0.0,90,0.0,0.0,0.0
lam_low,delayed,0.0,0.0,90,0.0,0.0,0.0
lam_low,extreme,167.74,160.99,90,16.97,134.48,201.0
lam_low,monsoon,17.68,37.97,90,4.0,9.84,25.53
lam_low,normal,0.0,0.0,90,0.0,0.0,0.0
lam_vhigh,delayed,0.0,0.0,90,0.0,0.0,0.0
lam_vhigh,extreme,171.06,160.41,90,16.91,137.92,204.21
lam_vhigh,monsoon,19.09,42.86,90,4.52,10.23,27.94
lam_vhigh,normal,0.0,0.0,90,0.0,0.0,0.0
lam_vlow,delayed,0.5,4.78,90,0.5,-0.48,1.49
lam_vlow,extreme,168.68,159.94,90,16.86,135.64,201.73
lam_vlow,monsoon,17.33,37.34,90,3.94,9.61,25.04
lam_vlow,normal,0.0,0.0,90,0.0,0.0,0.0
mu_high,delayed,0.0,0.0,90,0.0,0.0,0.0
mu_high,extreme,168.86,160.16,90,16.88,135.77,201.95
mu_high,monsoon,16.71,35.39,90,3.73,9.4,24.02
mu_high,normal,0.0,0.0,90,0.0,0.0,0.0
mu_low,delayed,0.0,0.0,90,0.0,0.0,0.0
mu_low,extreme,168.86,160.16,90,16.88,135.77,201.95
mu_low,monsoon,16.71,35.39,90,3.73,9.4,24.02
mu_low,normal,0.0,0.0,90,0.0,0.0,0.0
