site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site6,delayed,0,360,0.7672950105481635,0.0,0,100.0,0.0,0,0,0,0.9024061089903256,0.7672950105481637,0.7672950105481635,0.06388888888888888,1242.0074761904762,496.8029904761905,b1_weibull_k2p0,999,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site6,delayed,1,360,0.6128314427850377,0.0,0,100.0,0.0,0,0,0,0.9024061089903256,0.6128314427850378,0.6128314427850377,0.06388888888888888,1242.0074761904762,496.8029904761905,b1_weibull_k2p0,999,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site6,delayed,2,360,0.6675569571419706,0.0,0,100.0,0.0,0,0,0,0.9024061089903256,0.6675569571419705,0.6675569571419706,0.06388888888888888,1242.0074761904762,496.8029904761905,b1_weibull_k2p0,999,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site6,delayed,3,360,0.5284926956898696,0.0,0,100.0,0.0,0,0,0,0.9024061089903256,0.5284926956898695,0.5284926956898696,0.06388888888888888,1242.0074761904762,496.8029904761905,b1_weibull_k2p0,999,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site6,delayed,4,360,0.41265442096118005,0.0,0,100.0,0.0,0,0,0,0.9024061089903256,0.41265442096118016,0.41265442096118005,0.06388888888888888,1242.0074761904762,496.8029904761905,b1_weibull_k2p0,999,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site6,delayed,5,360,0.300528271644429,0.0,0,100.0,0.0,0,0,0,0.9024061089903256,0.300528271644429,0.300528271644429,0.06388888888888888,1242.0074761904762,496.8029904761905,b1_weibull_k2p0,999,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site6,delayed,6,360,0.34933150384073625,0.0,0,100.0,0.0,0,0,0,0.9024061089903256,0.34933150384073614,0.34933150384073625,0.06388888888888888,1242.0074761904762,496.8029904761905,b1_weibull_k2p0,999,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site6,delayed,7,360,0.5021528601436946,0.0,0,100.0,0.0,0,0,0,0.9024061089903256,0.5021528601436945,0.5021528601436946,0.06388888888888888,1242.0074761904762,496.8029904761905,b1_weibull_k2p0,999,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site6,delayed,8,360,0.34273496247653146,0.0,0,100.0,0.0,0,0,0,0.9024061089903256,0.34273496247653146,0.34273496247653146,0.06388888888888888,1242.0074761904762,496.8029904761905,b1_weibull_k2p0,999,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site6,delayed,9,360,0.40035164943277124,0.0,0,100.0,0.0,0,0,0,0.9024061089903256,0.40035164943277124,0.40035164943277124,0.06388888888888888,1242.0074761904762,496.8029904761905,b1_weibull_k2p0,999,normal,sensitivity_weibull_k2,0,0.3,0.9,360
