site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,delayed,0,360,0.7094111179488861,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.4526769074259377,0.11605685375361596,0.41944444444444445,2409.114428571428,1713.2071914285712,mpc_weibull_k2p0,123,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site2,delayed,1,360,0.7711518684233507,12.754999999999999,2,99.4444,736.80642,0,1,0,0.6408744709317017,0.4446668608769801,0.05321348634730872,0.4111111111111111,2409.114428571428,1700.4521914285713,mpc_weibull_k2p0,123,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site2,delayed,2,360,0.8110496901605238,0.0,0,100.0,749.56142,0,1,0,0.6408744709317017,0.4909821463042418,0.08217226957975704,0.4166666666666667,2409.114428571428,1713.2071914285712,mpc_weibull_k2p0,123,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site2,delayed,3,360,0.30370564558119556,10.35,1,99.7222,739.21142,0,2,0,0.6408744709317017,0.41472973110758277,0.04836925467215697,0.40555555555555556,2409.114428571428,1702.8571914285712,mpc_weibull_k2p0,123,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site2,delayed,4,360,0.33747994064002396,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.5024123967837419,0.16105836947221408,0.4166666666666667,2409.114428571428,1713.2071914285712,mpc_weibull_k2p0,123,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site2,delayed,5,360,0.6955075805601405,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.413773370037192,0.10215331636487028,0.425,2409.114428571428,1713.2071914285712,mpc_weibull_k2p0,123,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site2,delayed,6,360,0.5305898231297899,3.4030000000000005,2,99.4444,746.15842,0,2,0,0.6408744709317017,0.3640726547366389,0.05646747979455612,0.4111111111111111,2409.114428571428,1709.8041914285714,mpc_weibull_k2p0,123,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site2,delayed,7,360,0.5719682377379023,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.4102340272149536,0.09294715140601396,0.4222222222222222,2409.114428571428,1713.2071914285712,mpc_weibull_k2p0,123,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site2,delayed,8,360,0.6878781181479202,71.87100000000001,9,97.5,677.69042,0,1,0,0.6408744709317017,0.38290507906866067,0.055039380794249186,0.37222222222222223,2409.114428571428,1641.3361914285713,mpc_weibull_k2p0,123,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site2,delayed,9,360,0.38556079466672327,186.2102,24,93.3333,563.35122,0,2,0,0.6408744709317017,0.2908342066499376,0.060262925756682795,0.3333333333333333,2409.114428571428,1526.9969914285712,mpc_weibull_k2p0,123,normal,sensitivity_weibull_k2,0,0.3,0.9,360
