site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,normal,0,360,0.7643736291335781,0.0,0,100.0,347.31820000000005,0,2,0,0.7661808014764278,0.8146433844539451,0.5338225745290763,0.49166666666666664,2572.712476190476,1376.4031904761905,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,normal,1,360,0.6913795576205464,0.0,0,100.0,739.35224,0,4,0,0.6772784027326547,0.7823158026245548,0.4839941591280291,0.6277777777777778,2197.668,1618.4194400000001,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,normal,2,360,0.37353930580432293,0.0,0,100.0,586.3944799999999,0,4,0,0.7025844670511154,0.7239125453310545,0.13361217514622437,0.5805555555555556,2370.606285714286,1534.6369942857145,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,normal,3,360,0.6438783941685035,0.0,0,100.0,570.12494,0,3,0,0.6942437042000578,0.8043441433545253,0.5849665974541016,0.5388888888888889,2466.906285714286,1556.8874542857143,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,normal,4,360,0.8433625660141872,0.0,0,100.0,275.58156,0,1,0,0.7550010964912282,0.7564817622025504,0.5077501583604592,0.5138888888888888,2833.887238095238,1409.1364552380953,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,normal,5,360,0.7450811967855364,0.0,0,100.0,443.02044,0,2,0,0.7639637379521336,0.8712240520775607,0.6286471592309061,0.44722222222222224,2510.5330476190475,1447.233659047619,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,normal,6,360,0.5326199233713568,0.0,0,100.0,802.9045600000001,0,4,0,0.6312309986643564,0.7030815178948477,0.27680943548361714,0.6666666666666666,2121.0773809523807,1651.3355123809524,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,normal,7,360,0.5177125153656817,0.0,0,100.0,274.69168,0,2,0,0.7999070283734024,0.8504510925629104,0.46215763159386564,0.45555555555555555,2634.4440476190475,1328.4692990476192,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,normal,8,360,0.7724536151319743,0.0,0,100.0,610.36726,0,3,0,0.6313959156829833,0.7060085854359338,0.4157639158799573,0.6694444444444444,2475.407904761905,1600.530421904762,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,normal,9,360,0.8654647177622501,0.0,0,100.0,508.05124000000006,0,2,0,0.7049164184896398,0.7904184138683996,0.5830207877122119,0.5833333333333334,2521.966571428571,1516.8378685714285,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
