site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,monsoon,0,360,0.7643736291335781,0.0,0,100.0,490.07048,0,3,0,0.7168143951700239,0.7155255202369795,0.5127444197655908,0.4861111111111111,1801.9150476190475,1210.8364990476189,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,1,360,0.6913795576205464,0.0,0,100.0,761.0363199999999,0,5,0,0.6346126994440834,0.6694671703346448,0.36039567924189797,0.5583333333333333,1602.3073333333334,1401.9592533333334,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,2,360,0.37353930580432293,345.82679999999993,56,84.4444,1008.92372,0,5,0,0.37058333784564296,0.34947612671737066,0.06652350381858627,0.6444444444444445,933.5042857142857,1382.3254342857144,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,3,360,0.6438783941685035,0.0,0,100.0,984.76376,0,6,0,0.5424624530719804,0.6871620961186505,0.4001371924717709,0.6694444444444444,1254.0079047619047,1486.366921904762,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,4,360,0.8433625660141872,0.0,0,100.0,649.5484,0,4,0,0.6183339109089597,0.7113320225004591,0.3935326387978803,0.6138888888888889,1721.7444761904762,1338.2461904761906,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,5,360,0.7450811967855364,0.0,0,100.0,1010.8241600000001,0,6,0,0.5000568460760957,0.6570975498097552,0.2840808039000925,0.7166666666666667,1264.337238095238,1516.5590552380954,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,6,360,0.5326199233713568,28.189999999999998,3,99.1667,1308.33584,0,6,0,0.42158035069670063,0.46726345160102695,0.056213160414461096,0.7472222222222222,909.0911428571428,1671.972297142857,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,7,360,0.5177125153656817,604.5669600000001,97,73.0556,452.72244,0,2,0,0.4309008555338965,0.16128103854555295,0.06403430852148408,0.3388888888888889,1309.038380952381,976.3377923809525,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,8,360,0.7724536151319743,0.0,0,100.0,851.11868,0,4,0,0.5897261795177243,0.6042075075464732,0.2937945531293235,0.6055555555555555,1474.9551428571428,1441.1007371428573,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,9,360,0.8654647177622501,0.0,0,100.0,698.2951599999999,0,3,0,0.6007153680239695,0.51214670011718,0.24156489689137595,0.5583333333333333,1620.251619047619,1346.3958076190474,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
