site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,eval_seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len,training_seed
site5,monsoon,0,360,0.7643736291335781,391.25204,69,80.8333,605.43756,0,2,0,0.4763183253916685,0.4148821048416415,0.0564600506130917,0.4138888888888888,1341.5349523809523,1142.051540952381,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site5,monsoon,1,360,0.6913795576205464,0.0,0,100.0,647.93244,0,4,0,0.6650859549851996,0.6609003274614462,0.447223162577562,0.45,1704.9270476190477,1329.903259047619,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site5,monsoon,2,360,0.3735393058043229,134.35323999999997,23,93.6111,705.3365200000001,0,4,0,0.4726880189156018,0.6181085607425819,0.0699054484017617,0.6694444444444444,1554.038761904762,1326.9520247619048,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site5,monsoon,3,360,0.6438783941685035,2.25,1,99.7222,1114.40184,0,6,0,0.4931790845426322,0.5703963117054742,0.0835441085873992,0.6416666666666667,1112.178571428571,1559.2732685714286,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site5,monsoon,4,360,0.8433625660141872,0.0288000000000003,1,99.7222,912.84196,0,5,0,0.5107107203451015,0.5366761331772508,0.2532886502781264,0.6444444444444445,1439.2658095238096,1488.5482838095238,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site5,monsoon,5,360,0.7450811967855364,0.0,0,100.0,1263.9116,0,6,0,0.3950571529131471,0.6093739484190445,0.2444306051266937,0.8,1018.253619047619,1671.2130476190475,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site5,monsoon,6,360,0.5326199233713568,0.0,0,100.0,838.28404,0,5,0,0.5773934418092556,0.4677658710650598,0.1734379907745168,0.5444444444444444,1484.6301904761904,1432.136116190476,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site5,monsoon,7,360,0.5177125153656817,159.66616000000002,25,93.0556,634.9068,0,3,0,0.5528301160566025,0.3048584501111828,0.0607394646435047,0.4388888888888889,1567.0032380952382,1261.7080952380952,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site5,monsoon,8,360,0.7724536151319743,137.65488000000002,19,94.7222,1096.06224,0,5,0,0.4343271018338027,0.4538195829286857,0.0607821872264528,0.65,1132.0728571428572,1548.8913828571428,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site5,monsoon,9,360,0.8654647177622501,0.3199200000000015,1,99.7222,723.04928,0,3,0,0.571470782795466,0.5068939686014784,0.2451827059224141,0.5277777777777778,1598.826857142857,1362.580022857143,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
