site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site7,extreme,0,360,0.7643736291335781,0.0,0,100.0,104.02049,0,1,0,0.7703538485488411,0.6099338062411894,0.42450402840169527,0.475,929.6498095238095,475.8804138095238,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site7,extreme,1,360,0.6913795576205464,0.0,0,100.0,111.18082,0,1,0,0.8543525095209731,0.4710347196439694,0.32811477293780417,0.25,877.6352857142857,462.2349342857143,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site7,extreme,2,360,0.37353930580432293,18.049800000000005,7,98.0556,150.51164000000003,0,2,0,0.7406022534474046,0.22685790636920855,0.13942050556907504,0.38055555555555554,836.3979047619048,485.070801904762,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site7,extreme,3,360,0.6438783941685035,0.0,0,100.0,218.41897,0,2,0,0.7304252344144828,0.691929537644365,0.23023084140107206,0.5055555555555555,849.0613333333333,558.0435033333333,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site7,extreme,4,360,0.8433625660141872,0.0,0,100.0,107.29117000000001,0,1,0,0.8458673493791063,0.7399122898337726,0.49280656392309397,0.40555555555555556,911.5690714285714,471.9187985714286,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site7,extreme,5,360,0.7450811967855364,0.0,0,100.0,320.31426999999996,0,4,0,0.6491383711013644,0.6144950350307605,0.2770863264986645,0.5944444444444444,674.1897857142857,589.9901842857142,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site7,extreme,6,360,0.5326199233713568,0.0,0,100.0,351.10109,0,4,0,0.6094100854631435,0.5398642411158803,0.2854556745312601,0.6027777777777777,653.0613571428572,612.3256328571429,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site7,extreme,7,360,0.5177125153656817,0.0,0,100.0,147.94204000000002,0,2,0,0.7994766093152119,0.40599876179884287,0.3343365760073858,0.35,910.5560238095238,512.1644495238096,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site7,extreme,8,360,0.7724536151319743,22.818,7,98.0556,194.87845,0,1,0,0.6880741812414267,0.34979860177221195,0.1357207849679542,0.5388888888888889,838.5108571428572,530.2827928571428,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site7,extreme,9,360,0.8654647177622501,0.0,0,100.0,104.08466000000001,0,1,0,0.8272361144953433,0.7566780355939026,0.5253854522587541,0.42777777777777776,963.7539523809523,489.586240952381,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
