site,difficulty,mean_load,solar_coverage_pct,outage_pct,longest_outage_hours,battery_autonomy_hours,autonomy_coverage_pct,mean_deficit_during_outage,surplus_hours_pct,avg_surplus_energy_daily_kwh,is_training,is_surplus
site5,Hard,8.3,34.0,48.3,16,3.8,23.7,5.4,10.2,5.2,True,False
site2,Hard,9.7,25.6,37.8,16,5.1,32.1,8.0,5.3,2.0,False,False
site7,Medium,4.2,50.8,37.8,16,6.2,39.1,3.3,20.3,13.7,True,False
site10,Medium,4.1,80.1,48.3,16,12.1,75.5,1.7,32.2,35.8,False,False
site3,Medium,5.9,56.0,32.8,16,11.5,71.7,3.6,18.5,15.3,False,False
site4,Medium,9.6,55.3,32.2,16,8.2,51.4,5.0,24.4,39.0,False,False
site9,Medium,4.2,52.4,32.2,16,9.6,60.1,2.2,21.9,14.6,False,False
site1,Easy,4.5,45.6,20.0,8,7.8,97.1,2.1,18.8,12.0,True,False
site6,Easy,4.2,42.0,20.0,8,19.4,100.0,2.1,14.7,6.8,False,False
site8,Easy,2.1,151.6,32.8,16,14.1,88.4,1.5,41.2,51.3,False,True
