site,step,reward
site7,8192,-6475.044994875001
site7,16384,-6107.923257150001
site7,24576,-5534.7731115937495
site7,32768,-4928.872497954545
site7,40960,-4406.340366857143
site7,49152,-3945.0513888529413
site7,57344,-3664.094416723684
site7,65536,-3324.0222469318182
site7,73728,-3015.2452737900003
site7,81920,-2332.7294120099996
site7,90112,-1734.1022696100003
site7,98304,-1307.7123095200002
site7,106496,-1084.6687869
site7,114688,-840.94866043
site7,122880,-681.5644408
site7,131072,-575.7176414100002
site7,139264,-485.05629135000004
site7,147456,-451.72515013
site7,155648,-421.30647673000004
site7,163840,-403.34064285000005
site7,172032,-384.45802339
site7,180224,-373.94166457
site7,188416,-354.5984015200001
site7,196608,-339.99761220000005
site7,204800,-333.59023716999997
site7,212992,-333.05004405
site7,221184,-320.89207509000005
site7,229376,-316.60427538
site7,237568,-315.23752168
site7,245760,-311.28352253
site7,253952,-308.68610099
site7,262144,-305.79041858000005
site7,270336,-309.19596093000007
site7,278528,-314.42207209000003
site7,286720,-312.29028351
site7,294912,-316.59384468
site7,303104,-312.47333375
site7,311296,-321.52693694000004
site7,319488,-321.64729647
site7,327680,-323.37342637
site7,335872,-339.10533681
site7,344064,-331.92338509
site7,352256,-329.86190942
site7,360448,-330.35329697000003
site7,368640,-325.1540573
site7,376832,-338.04877609000005
site7,385024,-326.57391056000006
site7,393216,-343.11236490000005
site7,401408,-332.44652390000005
site5,8192,-8986.600437125
site5,16384,-8185.451742949999
site5,24576,-7493.60015278125
site5,32768,-6717.791670477274
site5,40960,-6055.103433285714
site5,49152,-5436.488532735293
site5,57344,-5044.574563973684
site5,65536,-4558.982181931818
site5,73728,-4154.34559766
site5,81920,-3209.47211129
site5,90112,-2452.19566015
site5,98304,-1852.9092086
site5,106496,-1541.766973
site5,114688,-1178.2752355000002
site5,122880,-929.1322061299999
site5,131072,-786.94358702
site5,139264,-661.1823858600001
site5,147456,-586.1181548700001
site5,155648,-512.84038447
site5,163840,-485.36747884000005
site5,172032,-458.23915618000007
site5,180224,-425.73555287000005
site5,188416,-406.22063561000004
site5,196608,-390.21810485000003
site5,204800,-383.35754560000004
site5,212992,-376.16600227000004
site5,221184,-363.84223651
site5,229376,-360.68842887
site5,237568,-349.90097635999996
site5,245760,-353.63923302999996
site5,253952,-362.0430314499999
site5,262144,-358.36863039
site5,270336,-358.85965016
site5,278528,-359.21100954999997
site5,286720,-363.18781209
site5,294912,-372.92860123000014
site5,303104,-373.57950166999996
site5,311296,-373.50389488
site5,319488,-372.0046871699999
site5,327680,-363.02323791
site5,335872,-363.33145568
site5,344064,-373.24860406000005
site5,352256,-380.9743651400001
site5,360448,-368.05253276
site5,368640,-366.29312146000007
site5,376832,-366.46912942
site5,385024,-366.35566368999986
site5,393216,-360.863085
site5,401408,-359.50254659999996
site2,8192,-7856.8284246250005
site2,16384,-7500.903627549999
site2,24576,-6799.55259940625
site2,32768,-6110.485444318182
site2,40960,-5488.039566428571
site2,49152,-4902.468976235294
site2,57344,-4549.642782473685
site2,65536,-4088.3523767954543
site2,73728,-3704.88518476
site2,81920,-2833.21126364
site2,90112,-2120.68115468
site2,98304,-1581.6609013899995
site2,106496,-1292.3733833100002
site2,114688,-963.9497784399999
site2,122880,-765.22889511
site2,131072,-637.48954122
site2,139264,-562.17220188
site2,147456,-507.86318551999994
site2,155648,-479.90463973000004
site2,163840,-459.10551420000013
site2,172032,-437.92863027
site2,180224,-420.83573901999995
site2,188416,-402.64662233
site2,196608,-391.57968635000003
site2,204800,-390.00371505
site2,212992,-385.0150534899999
site2,221184,-378.08066232
site2,229376,-367.8094576000001
site2,237568,-379.05263229999997
site2,245760,-385.9975019700001
site2,253952,-383.6728635900001
site2,262144,-381.76027022999995
site2,270336,-380.91153620000006
site2,278528,-379.12465051000004
site2,286720,-379.06261132
site2,294912,-378.97497254
site2,303104,-378.92625670000007
site2,311296,-379.4014822
site2,319488,-369.48153991999993
site2,327680,-375.92694359
site2,335872,-375.78654625
site2,344064,-374.57023494999993
site2,352256,-373.87739631999995
site2,360448,-373.91433148
site2,368640,-374.70807905999993
site2,376832,-364.51897347
site2,385024,-363.2587139200001
site2,393216,-358.03752439999994
site2,401408,-356.65955048
